Código ,Designación de la mercancía,Grav.,Selectivo Ad Valorem,Selectivo Específico,ITBIS*
0207.13," - - Trozos y despojos, frescos o refrigerados: ",,,,
0207.13.11," - - - Muslos cortos, muslos largos (piernas), incluso unidos",25,,,0
0207.13.19, - - - Los demás,25,,,0
0207.14," - - Trozos y despojos, congelados:",,,,
0207.14.11, - - - Picado o molidos,25,,,0
, - - - Los demás:,,,,
0207.14.91, - - - - Pechugas,25,,,0
0207.14.92," - - - - Muslos cortos, muslos largos (piernas), incluso unidos",25,,,0
0207.14.93         , - - - - Alas,25,,,0
0207.14.99, - - - - Los demás,25,,,0
, - De pavo (gallipavo):,,,,
0207.24.00," - - Sin trocear, frescos o refrigerados",20,,,18
0207.25.00," - - Sin trocear, congelados",20,,,18
0207.26," - - Trozos y despojos, frescos o refrigerados: ",,,,
, - - - Trozos:,,,,
0207.26.11, - - - - Pechugas de pavo deshuesada,20,,,18
0207.26.12, - - - - Pechugas de pavo con huesos,20,,,18
0207.26.13        , - - - - Muslos,20,,,18
0207.26.19        , - - - - Los demás,20,,,18
, - - - Despojos:,,,,
0207.26.21, - - - - Hígados,14,,,18
0207.26.29, - - - - Los demás,20,,,18
0207.27," - - Trozos y despojos, congelados:",,,,
0207.27.10, - - - Picados o molidos,20,,,18
, - - - Los demás:,,,,
0207.27.91, - - - - Pechugas,20,,,18
0207.27.92, - - - - Muslos,20,,,18
0207.27.93, - - - - Pulpa de Pavo,8,,,18
0207.27.99, - - - - Los demás,20,,,18
, - De patos:,,,,
0207.41.00," - - Sin trocear, frescos o refrigerados",20,,,18
0207.42.00," - - Sin trocear, congelados",20,,,18
0207.43.00," - - Hígados grasos, fresco o refrigerado",14,,,18
0207.44.00, - - Los demás frescos o refrigerados,20,,,18
0207.45.00," - - Los demás, congelados",20,,,18
, - De ganso:,,,,
0207.51.00," - - Sin trocear, frescos o refrigerados",20,,,18
0207.52.00," - - Sin trocear, congelados",20,,,18
0207.53.00," - - Hígados grasos, frescos o refrigerados",14,,,18
0207.54.00, - - Los demás frescos o refrigerados,20,,,18
0207.55.00," - - Los demás, congelados",20,,,18
0207.60.00, - De pintada,20,,,18
02.08,"Las demás carnes y despojos comestibles, frescos,  refrigerados o congelados.",,,,
0208.10.00, - De conejo o  liebre,20,,,18
0208.30.00, - De Primates,20,,,18
0208.40.00," - De ballenas, delfines y marsopas (mamíferos del orden Cetácea); de manatíes y dugones o dugongos (mamíferos del orden Sirenia); de otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)",20,,,18
0208.50.00, - De reptiles (incluidas serpientes y tortugas de mar),20,,,18
0208.60.00, - De camellos y demás camélidos (Camelidae),20,,,18
0208.90.00, - Los demás,20,,,18
02.09,"Tocino sin partes magras y grasa de cerdo o ave sin fundir ni extraer de otro modo, frescos, refrigerados, congelados, salados, o en salmuera, secos o ahumados.",,,,
0209.10, - De cerdos:,,,,
0209.10.11, - - Tocino sin partes magras,40,,,18
0209.10.12, - - Grasa de cerdo sin fundir ni extraer de otro modo,25,,,18
0209.10.19, - - Las demás,40,,,18
0209.90.00, - Los demás,40,,,18
02.10,"Carne y despojos comestibles, salados o en salmuera, secos o ahumados; harina y polvo comestibles, de carne o de despojos.",,,,
, - Carne de la especie porcina:,,,,
0210.11.00," - - Jamones, paletas, y sus trozos, sin deshuesar",40,,,18
0210.12.00, - - Tocino entreverado de panza (panceta) y sus trozos,40,,,18
0210.19.00, - - Las demás,40,,,18
0210.20.00, - Carne de la especie bovina,40,,,18
," - Los demás, incluidos la harina y polvo comestibles, de carne o de despojos:",,,,
0210.91.00, - - De primates,8,,,18
0210.92.00," - - De ballenas, delfines y marsopas (mamíferos del orden Cetácea); manatíes y dugones o dugongos (mamíferos del orden Sirena); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)",20,,,18
0210.93.00, - - De reptiles (incluidas serpientes y tortugas de mar),20,,,18
0210.99, - - Los demás:,,,,
0210.99.11      ," - - - Carne deshidratada en polvo en envases de 25 kg, de la especie Gallus domesticus",0,,,0
0210.99.19, - - - Los demás,20,,,18
03.01,Peces vivos,,,,
, - Peces ornamentales:,,,,
0301.11.00, - - De agua dulce,20,,,0
0301.19.00, - - Los demás,20,,,0
, - Los demás peces vivos:,,,,
0301.91," - - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster):",,,,
0301.91.10, - - - Para reproducción o cria industrial,0,,,0
0301.91.90, - - - Los demás,20,,,0
0301.92, - - Anguilas (Anguilla spp.):,,,,
0301.92.10, - - - Para reproducción o cría industrial,0,,,0
0301.92.90, - - - Las demás,20,,,0
0301.93," - - Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.):",,,,
0301.93.11, - - - Para reproducción o cria industrial,0,,,0
0301.93.19, - - - Las demás,20,,,0
0301.94.00," - - Atunes comunes o de aleta azul, del Atlántico y Pacífico (Thunnus thynnus, Thunnus orientalis)",20,,,0
0301.95.00, - - Atunes del sur (Thunnus maccoyii),20,,,0
0301.99, - Los demas:,,,,
0301.99.10, - - - Para reproducción o cria industrial,0,,,0
0301.99.90, - - Los demás,20,,,0
03.02,"Pescado fresco o refrigerado, excepto filetes y demás carne de pescado de la partida 03.04",,,,
," - Salmónidos, excepto los despojos comestibles de pescado de las subpartidas 0302.91 a 0302.99:",,,,
0302.11.00," - - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)",20,,,0
0302.13.00," - - Salmones del Pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta,  Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus)",20,,,0
0302.14.00,  - - Salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho),20,,,0
0302.19.00, - - Los demás,20,,,0
," -  Pescados planos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae y Citharidae), excepto los despojos comestibles de pescado de las subpartidas 0302.91 a 0302.99:",,,,
0302.21.00," - - Fletanes («halibut») (Reinhardtius hippoglossoides, hippoglossus hippoglossus, Hippoglossu stenolepsis)",20,,,0
0302.22.00, - - Sollas (Pleuronectes platessa),20,,,0
0302.23.00, - - Lenguados (Solea spp.),20,,,0
0302.24.00, - - Rodaballos (turbots) (Psetta maxima),20,,,0
0302.29.00, - - Los demás,20,,,0
," - Atunes (del género Thunnus), listados (bonitos de vientre rayado) (Katsuwonus pelamis), excepto los despojos comestibles de pescado de las subpartidas 0302.91 a 0302.99:",,,,
0302.31.00, - - Albacoras o atunes blancos (Thunnus alalunga),20,,,0
0302.32.00, - - Atunes de aleta amarilla (rabiles) (Thunnus albacares),20,,,0
0302.33.00, - - Listados (bonitos de vientre rayado) (Katsuwonus pelamis)	,20,,,0
0302.34.00, - - Patudos o atunes ojo grande (Thunnus obesus),20,,,0
0302.35.00," - - Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus thynnus, Thunnus orientalis)",20,,,0
0302.36.00, - - Atunes del sur (Thunnus maccoyii),20,,,0
0302.39.00, - -  Los demas,20,,,0
," - Arenques (Clupea harengus, Clupea pallasii), anchoas, (Engraulis spp.), sardinas (Sardina pilchardus, Sardinops spp.), sardinelas (Sardinella spp.), espadines (Sprattus sprattus), caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus), caballas de la India (Rastrelliger spp.), carites (Scomberomorus spp.) jureles (Trachurus spp.), pámpanos (Caranx spp.), cobias (Rachycentron canadum), palometones plateados (Pampus spp.), papardas del Pacífico (Colorabis saira), macarelas (Decapterus spp.), capelanes (Mallotus villosus), peces espada (Xiphias gladius), bacoretas orientales (Euthynnus affinis), bonitos (Sarda spp.), agujas, marlines, peces vela o picudos (Istiophoridae), excepto los despojos comestibles de pescado de las subpartida 0302.91 a 0302.99:",,,,
0302.41.00," - - Arenques (Clupea harengus, Clupea pallasii)",20,,,0
0302.42.00," - - Anchoas, (Engraulis spp.)",20,,,0
0302.43.00," - - Sardinas (Sardina pilchardus, Sardinops spp.), sardinelas (Sardinella spp.) y espadines (Sprattus sprattus) ",20,,,0
0302.44.00," - - Caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus)",20,,,0
0302.45.00, - - Jureles (Trachurus spp.) ,20,,,0
0302.46.00, - - Cobias (Rachycentron canadum)  ,20,,,0
0302.47.00, - - Peces espada (Xiphias gladius),20,,,0
0302.49.00, - - Los demás,20,,,0
," - Pescados de las familias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae y Muraenolepididae, excepto los despojos comestibles de pescado de las subpartidas 0302.91 a 0302.99:",,,,
0302.51.00," - - Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)",20,,,0
0302.52.00, - - Eglefinos (Melanogrammus aeglefinus),20,,,0
0302.53.00, - - Carboneros (Pollachius virens),20,,,0
0302.54.00," - - Merluza (Merluccius spp., Urophycis spp.)",20,,,0
0302.55.00, - - Abadejos de Alaska (Theragra chalcogramma),20,,,0
0302.56.00," - - Bacaladillas (Micromesistius poutassou, Micromesistius australis)",20,,,0
0302.59.00, - - Los demás,20,,,0
," - Tilapias (Oreochromis spp.), bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp.,  Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anguilas (Anguilla spp.), percas del Nilo (Lates niloticus) y peces cabeza de serpiente (Channa spp.), excepto los despojos comestibles de pescado de las subpartidas 0302.91 a 0302.99:",,,,
0302.71.00, - - Tilapias (Oreochromis spp.) ,20,,,0
0302.72.00," - - Bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",20,,,0
0302.73.00," - - Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp.,  Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalograma spp.) ",20,,,0
0302.74.00, - - Anguilas (Anguilla spp.),20,,,0
0302.79.00, - - Los demás,20,,,0
," - Los demás pescados, excepto los despojos comestibles de pescado de las subpartidas 0302.91 a 0302.99:",,,,
0302.81.00, - - Cazones y demás escualos ,20,,,0
0302.82.00, - - Rayas (Rajidae),20,,,0
0302.83.00," - - Austromerluzas antárticas y austromerluzas negras (merluzas negras, bacalaos de profundidad, nototenias negras)* (Dissostichus spp.)",20,,,0
0302.84.00, - - Róbalos (Dicentrarchus spp.),20,,,0
0302.85.00," - - Sargos (Doradas, Espáridos)* (Sparidae)",20,,,0
0302.89.00, - - Los demás,20,,,0
