Código ,Designación de la mercancía,Grav.,Selectivo Ad Valorem,Selectivo Específico,ITBIS*
07.11,"Hortalizas conservadas provisionalmente, pero todavía impropias, en este estado, para consumo inmediato.",,,,
0711.20.00, - Aceitunas,20,,,18
0711.40.00, - Pepinos y pepinillos,20,,,18
, - Hongos y trufas:,,,,
0711.51.00, - - Hongos del género Agaricus,20,,,18
0711.59.00, - - Los demás,20,,,18
0711.90, - Las demás hortalizas; mezclas de hortalizas:,,,,
0711.90.10, - - Las demás hortalizas ,20,,,18
0711.90.90, - - Mezclas de hortalizas ,20,,,18
07.12,"Hortalizas secas, incluidas las cortadas en trozos o en rodajas o las trituradas o pulverizadas, pero sin otra preparación. ",,,,
0712.20, - Cebollas:,,,,
0712.20.10, - - En envases de contenido neto superior a 3 kg,20,,,18
0712.20.90, - - Los demás,20,,,18
," - Orejas de Judas (Auricularia spp.), hongos gelatinosos  (Tremella spp.) y demás hongos; trufas:",,,,
0712.31.00, - - Hongos del género Agaricus,20,,,18
0712.32.00, - - Orejas de Judas (Auricularia spp.),20,,,18
0712.33.00, - - Carpóforos (Tremella spp.),20,,,18
0712.34.00, - - Shiitake (Lentinus edodes),20,,,18
0712.39.00, - - Los demás,20,,,18
0712.90, - Las demás hortalizas; mezclas de hortalizas:,,,,
, - - Ajos:,,,,
0712.90.11, - - - En envases de contenido neto superior a 3 kg,14,,,18
0712.90.19, - - - Los demás,20,,,18
, - - Las demás hortalizas :,,,,
0712.90.21, - - - En envases de contenido neto superior a 3 kg,8,,,18
0712.90.29, - - - Los demás,20,,,18
, - - Mezclas de hortalizas :,,,,
0712.90.91, - - - En envases de contenido neto superior a 3kg,8,,,18
0712.90.99, - - - Los demás,20,,,18
07.13,"Hortalizas de vaina secas desvainadas, aunque estén mondadas o partidas. ",,,,
0713.10.00," - Arvejas (guisantes, chícharos) (Pisum sativum)",20,,,0
0713.20.00, - Garbanzos,20,,,0
," - Frijoles (fréjoles, porotos, alubias, judías) (Vigna spp., Phaseolus spp.):",,,,
0713.31," - - Frijoles (fréjoles, porotos, alubias, judías) de las especies Vigna mungo (L) Hepper o Vigna radiata (L) Wilczek:",,,,
0713.31.11, - - - Negros (Vigna mundo (L)),25,,,0
0713.31.19, - - - Los demás,25,,,0
0713.32," - - Frijoles (fréjoles, porotos, alubias, judías) Adzuki  (Phaseolus o  Vigna angularis ):",,,,
0713.32.11, - - - Rojos (Phaseoulus o Vigna angularis) ,25,,,0
0713.32.19, - - - Los demás,25,,,0
0713.33," - - Frijoles (fréjoles, porotos, alubias, judías) comunes (Phaseolus vulgaris):",,,,
0713.33.11, - - - Blancos (Phaseolus vulgaris),25,,,0
0713.33.12," - - - Pintos, giros y jacomelos (Phaseolus vulgaris)",25,,,0
0713.33.19, - - - Los demás,25,,,0
0713.34.00," - - Frijoles (fréjoles, porotos, alubias, judías) bambara (Vigna subterranea o Voandzeia subterranea)",25,,,0
0713.35.00," - - Frijoles (porotos, alubias, judias, fréjoles) salvaje o caupí  (Vigna unguiculata)",25,,,0
0713.39.00, - - Las demás,25,,,0
0713.40.00, - Lentejas,20,,,0
0713.50.00," - Habas (Vicia faba var. Major), haba caballar (Vicia faba var. Equina) y menor (Vicia faba var. minor)",20,,,0
0713.60," - Guisantes (arvejas, chícharos)* de  palo, gandu o gandul (Cajanus cajan):",,,,
0713.60.11, - - Gandú o gandul (Guandul) (Cajanus cajan),20,,,0
0713.60.12," - - Guisantes (arvejas, chícharos)* de palo (Cajanus cajan)",20,,,0
0713.90.00, - Las demás,20,,,0
07.14,"Raíces de yuca (mandioca) , arrurruz o salep, aguaturmas (patacas)* , batatas (boniatos, camotes)*  y raíces y tubérculos similares ricos en fécula o inulina, frescos, refrigerados, congelados o secos, incluso troceados o en «pellets»; médula de sagú. ",,,,
0714.10.00, - Raíces de yuca (mandioca),20,,,0
0714.20," - Batatas (boniatos, camotes)*:",,,,
0714.20.11, - - Orgánica,20,,,0
0714.20.19, - - Las demás,20,,,0
0714.30, - Ñame (Dioscorea spp.):,,,,
0714.30.11, - - Blanco,20,,,0
0714.30.12, - - Amarillo,20,,,0
0714.30.13, - - Mapuey,20,,,0
0714.30.19, - - Los demás,20,,,0
0714.40.00, - Taro (Colocasia spp.),20,,,0
0714.50, - Yautía (malanga)* (Xanthosoma spp.):,,,,
0714.50.11, - - Blanca,20,,,0
0714.50.13, - - Amarilla,20,,,0
0714.50.14, - - Coco («Pipiota»),20,,,0
0714.50.19, - - Las demás,20,,,0
0714.90, - Los demás:,,,,
0714.90.11, - - Jícamas (Pachyrrhyzus erosus),20,,,0
0714.90.12, - - Lerenes (Calathea allovia),20,,,0
0714.90.19, - - Las demás,20,,,0
08.01,"Coco, nueces del Brasil y nueces de cajuil (merey, marañon, anarcado, «cajú»), frescos o secos, incluso sin cáscara o mondados.",,,,
, - Cocos:,,,,
0801.11.00, - - Secos,20,,,0
0801.12.00, - - Con la cáscara interna (endocarpio),20,,,0
0801.19, - - Los demás:,,,,
0801.19.11, - - - Para siembra,20,,,0
0801.19.12, - - - Orgánico,20,,,0
0801.19.19, - - - Los demás,20,,,0
, - Nueces del Brasil:,,,,
0801.21.00, - - Con cáscara,20,,,18
0801.22.00, - - Sin cáscara,20,,,18
," - Nueces de Cajuil (marañon (merey, cajuil, anarcado, «cajú»): ",,,,
0801.31.00, - - Con cáscara,20,,,18
0801.32.00, - - Sin cáscara,20,,,18
08.02,"Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados",,,,
, - Almendras:,,,,
0802.11.00, - - Con cáscara,14,,,18
0802.12.00, - - Sin cáscara,14,,,18
, - Avellanas (Corylus spp.):,,,,
0802.21.00, - - Con cáscara,14,,,18
0802.22.00, - - Sin cáscara,14,,,18
, - Nueces de nogal:,,,,
0802.31.00, - - Con cáscara,20,,,18
0802.32.00, - - Sin cáscara,20,,,18
, - Castañas (Castanea spp.):,,,,
0802.41.00, - - Con cáscara,20,,,18
0802.42.00, - - Sin cáscara,20,,,18
, - Pistachos:,,,,
0802.51.00, - - Con cáscara,20,,,18
0802.52.00, - - Sin cáscara,20,,,18
, - Nueces de macadamia:,,,,
0802.61.00, - - Con cáscara,20,,,18
0802.62.00, - - Sin cáscara,20,,,18
0802.70.00, - Nueces de cola (Cola spp.),20,,,18
0802.80.00, - Nueces de areca,20,,,18
, - Los demás,,,,
0802.91.00, - - Piñones con cáscara,20,,,18
0802.92.00, - - Piñones sin cáscara,20,,,18
0802.99.00, - - Los demás,20,,,18
08.03,"Bananas o plátanos, frescos o secos.",,,,
0803.10, - Plátanos «plantains»:,,,,
, - - Frescos:,,,,
0803.10.21, - - - Orgánico,20,,,0
0803.10.29, - - - Los demás,20,,,0
0803.10.31, - - Secos,20,,,0
0803.90, - Los demás:,,,,
, - - Bananas  (guineos) (cavendish valery):,,,,
, - - -Frescos:,,,,
0803.90.21, - - - - Orgánico,20,,,0
0803.90.29, - - - - Las demás,20,,,0
0803.90.31, - - - Secos,20,,,0
, - - Rulos (Musa Curniculata):,,,,
0803.90.91, - - - Frescos ,20,,,0
0803.90.99, - - - Los demás,20,,,0
08.04,"Dátiles, higos, piñas (ananás), aguacates (paltas)*, guayabas, mangos y mangostanes, frescos o secos.",,,,
0804.10.00, - Dátiles,20,,,18
0804.20.00, - Higos,20,,,18
0804.30, - Piñas (ananás): ,,,,
, - - Frescas:,,,,
0804.30.11, - - - Orgánica,20,,,0
0804.30.19, - - - Las demás,20,,,0
0804.30.20, - - Secas,20,,,18
0804.40, - Aguacates (paltas)*:,,,,
0804.40.11, - - Orgánico,20,,,0
0804.40.19, - - Los demás,20,,,0
0804.50," - Guayabas, mangos y mangostanes:",,,,
, - - Guayabas:,,,,
0804.50.11, - - - Frescas,20,,,0
0804.50.12, - - - Secas,20,,,18
, - - Mangos:,,,,
, - - - Frescos:,,,,
0804.50.23, - - - - Orgánico,20,,,0
0804.50.24, - - - - Los demás,20,,,0
0804.50.31, - - - Secos,20,,,18
0804.50.40, - - Mangostanes,20,,,0
08.05,Agrios (Cítricos) frescos o secos.,,,,
0805.10, - Naranjas:,,,,
, - - Frescas:,,,,
0805.10.11, - - - Dulces,20,,,0
0805.10.12, - - - Agrias,20,,,0
, - - Orgánica:,,,,
0805.10.14, - - - Dulces,20,,,0
0805.10.15, - - - Agrias,20,,,0
0805.10.20, - - Secas,20,,,18
," - Mandarinas (incluidas las tangerinas y satsumas); clementinas, «wilkings» e híbridos similares de agrios (cítricos):",,,,
0805.21.00, - - Mandarinas (incluidas las tangerinas y satsumas),20,,,0
0805.22.00, - - Clementinas,20,,,0
0805.29.00, - - Los demás,20,,,0
0805.40.00, - Toronjas y pomelos,20,,,0
0805.50," - Limones (Citrus limon, citrus limonum) y limas (Citrus aurantifolia, citrus latifolia):",,,,
0805.50.11, - - Orgánico,20,,,0
0805.50.19, - - Los demás,20,,,0
0805.90.00, - Los demás,20,,,0
08.06,"Uvas, frescas o secas, incluidas las pasas.",,,,
0806.10.00, - Frescas,20,,,18
0806.20.00," - Secas, incluidas las pasas",20,,,18
08.07,"Melones, sandías y papayas, frecos.",,,,
, - Melones y sandías:,,,,
0807.11, - - Sandías:,,,,
0807.11.11, - - - Orgánica,20,,,0
0807.11.19, - - - Las demás,20,,,0
0807.19, - - Los demás:,,,,
, - - - Melones:,,,,
0807.19.11, - - - Orgánico,20,,,0
0807.19.19, - - - Los demás,20,,,0
0807.20, - Papayas:,,,,
0807.20.11, - - Orgánica,20,,,0
0807.20.19, - - Las demás,20,,,0
08.08,"Manzanas, peras y membrillos, frescos.",,,,
0808.10.00, - Manzanas ,20,,,18
0808.30.00, - Peras,20,,,18
0808.40.00, - Membrillos,20,,,18
08.09,"Albaricoques (damascos, chabacanos)*, cerezas, melocotones (duraznos)* (incluidos los griñones y nectarinas), ciruelas y endrinas, frescos.",,,,
0809.10.00," - Albaricoques (damascos, chabacanos)*",20,,,18
, - Cerezas:,,,,
0809.21.00, - - Guindas (cerezas ácidas) (Prunus cerasus),20,,,18
0809.29.00, - - Las demás,20,,,0
0809.30.00," - Melocotones (duraznos)*, incluidos los griñones y nectarinas",20,,,18
0809.40.00, - Ciruelas y endrinas,20,,,18
08.10,"Las demás frutas u otros frutos, frescos.",,,,
0810.10.00, - Fresas (frutillas)*,20,,,0
0810.20," - Frambuesas, zarzamoras, mora y moras-frambuesa:",,,,
0810.20.10, - - Frambuesas,20,,,18
0810.20.20," - - Zarzamoras, mora y moras-frambuesa",20,,,18
0810.30.00," - Grosellas negras, blancas o rojas y grosellas espinosas",20,,,18
0810.40.00," - Arándanos rojos, mirtilos y demás frutos del género Vaccinium",20,,,18
0810.50.00, - Kiwis,20,,,18
0810.60.00, - Duriones,20,,,18
0810.70.00, - Caquis (persimonios)*,20,,,18
0810.90, - Los demás:,,,,
," - - Chinolas, granadillas («maracuyá») parchas y demás frutas de la pasión (Passiflora spp.):",,,,
0810.90.11, - - - Orgánica,20,,,0
0810.90.19, - - - Las demás,20,,,0
0810.90.20," - - Limoncillos (quenepas, mamoncillos)",20,,,0
0810.90.30, - - Guanabanas,20,,,0
0810.90.40, - - Mameyes,20,,,0
0810.90.50, - - Zapotes y zapotillos,20,,,0
0810.90.60, - - Tamarindos,20,,,0
0810.90.70, - - Jobos (Spondias),20,,,0
0810.90.80, - - Nísperos,20,,,18
, - - Los demás:,,,,
0810.90.91," - - - Pitahaya, fruta del dragón (Hylocereus spp.)",20,,,18
0810.90.99, - - - Los demas,20,,,18
08.11,"Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso con adición de azucar u otro edulcorante.",,,,
0811.10.00, - Fresa (frutillas)*,20,,,18
0811.20.00," - Frambuesas, zarzamoras, mora y moras-frambuesa y grosellas",20,,,18
0811.90.00, - Los demás,20,,,18
08.12,"Frutas y otros frutos, conservados provisionalmente, pero todavía impropios, en este estado, para consumo inmediato.",,,,
0812.10.00, - Cerezas,20,,,18
0812.90, - Los demás:,,,,
0812.90.10," - - Albaricoques (damascos, chabacanos)*",20,,,18
0812.90.20, - - Melocotones (duraznos) incluidos los griñones y nectarinas,20,,,18
0812.90.30, - - Agrios (cítricos),20,,,18
0812.90.40, - - Piñas (ananás sativus),20,,,18
0812.90.50, - - Mangos,20,,,18
0812.90.90, - - Los demás,20,,,18
08.13,"Frutas y otros frutos, secos, excepto los de las partidas 08.01 a 08.06; mezclas de frutas u otros frutos, secos, o de frutos de cáscara de este Capítulo.",,,,
0813.10.00," - Albaricoques (damascos, chabacanos)*",20,,,18
0813.20.00, - Ciruelas ,20,,,18
0813.30.00, - Manzanas ,20,,,18
0813.40, - Las demás frutas u otros frutos:,,,,
0813.40.10, - - Peras,20,,,18
0813.40.20, - - Tamarindos,20,,,18
0813.40.30, - - Papayas (lechosas),20,,,18
0813.40.90, - - Las demás,20,,,18
0813.50.00," - Mezclas de frutas u otros frutos, secos, o de frutos de cáscara de este Cápitulo",20,,,18
0814.00.00,"Cortezas de agrios (cítricos), melones o sandías, frescas, congeladas, secas o presentadas en agua salada, sulfurosa o adicionada de otras sustancias para su conservación provisional.",14,,,18
09.01,"Café, incluso tostado o descafeinado; cáscara y cascarill de café; sucedáneos del café que contengan café en cualquier proporción.",,,,
, - Café sin tostar:,,,,
0901.11, - - Sin descafeinar:,,,,
0901.11.11, - - - Orgánico,14,,,0
0901.11.19, - - - Los demás,14,,,0
0901.12.00, - - Descafeinado,14,,,16
, - Café tostado:,,,,
0901.21, - - Sin descafeinar:,,,,
, - - - En grano:,,,,
0901.21.11, - - - - Orgánico,20,,,16
0901.21.19, - - - - Los demás,20,,,16
0901.21.20, - - - Molido,20,,,16
0901.22.00, - - Descafeinado,20,,,16
0901.90, - Los demás:,,,,
0901.90.10, - - Sucedáneos del café que contengan café en cualquier proporción,20,,,16
0901.90.20, - - Cáscara y cascarilla de café,0,,,0
09.02,"Té, incluso aromatizado.",,,,
0902.10.00, - Té verde (sin fermentar) presentado en envases inmediatos con un contenido inferior o igual a 3 kg,20,,,18
0902.20.00, - Té verde (sin fermentar) presentado de otra forma,20,,,18
0902.30.00," - Té negro (fermentado) y té parcialmente fermentado, presentado en envases inmediatos con un contenido inferior o igual a 3 kg",20,,,18
0902.40.00," - Té negro (fermentado) y té parcialmente fermentado, presentado de otra forma",20,,,18
0903.00.00,Yerba mate ,20,,,18
09.04,"Pimienta del género Piper; frutos de los géneros Capsicum o Pimenta, secos, triturados o pulverizados.",,,,
, - Pimienta:,,,,
0904.11, - - Sin triturar ni pulverizar:,,,,
0904.11.10, - - - En envases de contenido neto superior a 3 kg,0,,,0
0904.11.90, - - - Los demás,20,,,18
0904.12, - - Triturada o pulverizada:,,,,
0904.12.10, - - - En envases de contenido neto superior a 3 kg,0,,,18
0904.12.90, - - - Los demás,20,,,18
, - Frutos de los géneros Capsicum o pimenta:,,,,
0904.21," - - Secos, sin triturar ni pulverizar:",,,,
0904.21.10, - - - En envases de contenido neto superior a 3 kg,0,,,18
0904.21.90, - - - Los demás ,20,,,18
0904.22, - - Triturados o pulverizados:,,,,
0904.22.10, - - - En envases de contenido neto superior a 3 kg,0,,,18
0904.22.90, - - - Los demás,20,,,18
09.05,Vainilla.,,,,
0905.10, - Sin triturar ni pulverizar:,,,,
0905.10.10, - - En envases de contenido neto superior a 3 kg,0,,,18
0905.10.90, - - Los demás ,20,,,18
0905.20, - Triturada o pulverizada:,,,,
0905.20.10, - - En envases de contenido neto superior a 3 kg,0,,,18
0905.20.90, - - Los demás,20,,,18
09.06,Canela y flores de canelero.,,,,
, - Sin triturar ni pulverizar:,,,,
0906.11, - - Canela (Cinnamomum zeylanicum Blume):,,,,
0906.11.10, - - - Envases de contenido neto superior a 3 kg,0,,,0
0906.11.90, - - - Las demás,20,,,18
0906.19, - - Las demás:,,,,
0906.19.10, - - - Envases de contenido neto superior a 3 kg,0,,,0
0906.19.90, - - - Las demás,20,,,18
0906.20, - Triturada o pulverizada:,,,,
0906.20.10, - - En envases de contenido neto superior a 3 kg,0,,,18
0906.20.90, - - Los demás,20,,,18
09.07," Clavos (frutos enteros, clavillos y pendúnculos).",,,,
0907.10, - Sin triturar ni pulverizar:,,,,
0907.10.10, - - En envases de contenido neto superior a 3 kg,0,,,0
0907.10.90, - - Los demás,20,,,18
0907.20, - Triturados o pulverizados:,,,,
0907.20.10, - - En envases de contenido neto superior a 3 kg,0,,,18
0907.20.90, - - Los demás,20,,,18
09.08,"Nuez moscada, macis, amomos y cardamomos.",,,,
, - Nuez moscada:,,,,
0908.11, - - Sin triturar ni pulverizar:,,,,
0908.11.10, - - - En envases de contenido neto superior a 3 kg,0,,,0
0908.11.90, - - - Los demás,20,,,18
0908.12, - - Triturada o pulverizada:,,,,
0908.12.10, - - - En envases de contenido neto superior a 3 kg,0,,,18
0908.12.90, - - - Los demás,20,,,18
, - Macis:,,,,
0908.21, - - Sin triturar ni pulverizar:,,,,
0908.21.10, - - - En envases de contenido neto superior a 3 kg,0,,,18
0908.21.90, - - - Los demás,20,,,18
0908.22, - - Triturado o pulverizado:,,,,
0908.22.10, - - - En envase de contenido neto superior a 3 kg,0,,,18
0908.22.90, - - - Los demás,20,,,18
, - Amomós y cardamomos:,,,,
0908.31, - - Sin triturar ni pulverizar:,,,,
0908.31.10, - - - En envases de contenido neto superior a 3 kg,0,,,0
0908.31.90, - - - Los demás,20,,,18
0908.32, - - Triturados o pulverizados:,,,,
0908.32.10, - - - En envases de contenido neto superior a 3 kg,0,,,0
0908.32.90, - - - Los demás,20,,,18
09.09,"Semillas de anís, badiana, hinojo, cilantro, comino o alcaravea; bayas de enebro.",,,,
, - Semillas de cilantro:,,,,
0909.21, - - Sin triturar ni pulverizar:,,,,
0909.21.10, - - - En envases de contenido neto superior a 3 kg,0,,,18
0909.21.90, - - - Los demás,20,,,18
0909.22, - - Trituradas o pulverizadas:,,,,
0909.22.10, - - -  En envases de contenido neto superior a 3 kg,0,,,18
0909.22.90, - - - Los demás,20,,,18
, - Semillas de comino:,,,,
0909.31, - - Sin triturar ni pulverizar:,,,,
0909.31.10, - - - En envases de contenido neto superior a 3 kg,0,,,18
0909.31.90, - - - Los demás,20,,,18
0909.32, - - Trituradas o pulverizadas:,,,,
0909.32.10, - - - En envases de contenido neto superior a 3 kg,0,,,18
0909.32.90, - - - Los demás,20,,,18
," - Semillas de anís, badiana, alcaravea o hinojo; bayas de enebro:",,,,
0909.61, - - Sin triturar ni pulverizar:,,,,
0909.61.10, - - - En envases de contenido neto superior a 3 kg,0,,,0
0909.61.90, - - - Los demás,20,,,18
0909.62, - - Trituradas o pulverizadas:,,,,
0909.62.10, - - - En envases de contenido neto superior a 3 kg,0,,,18
0909.62.90, - - - Los demás,20,,,18
09.10,"Jengibre, azafrán, cúrcuma, tomillo, hoja de laurel, «curry» y demás especias.",,,,
, - Jengibre:,,,,
0910.11, - - Sin triturar ni pulverizar:,,,,
, - - - Orgánico:,,,,
0910.11.11, - - - - En envases de contenido neto superior a 3 kg,0,,,18
0910.11.19, - - - - Los demás,20,,,18
, - - - Los demás:,,,,
0910.11.21, - - - - En envases de contenido neto superior a 3 kg,0,,,18
0910.11.29, - - - - Los demás,20,,,18
0910.12.00, - - Triturado o pulverizado,20,,,18
0910.20, - Azafrán:,,,,
0910.20.10, - - En envases de contenido neto superior a 3 kg,0,,,18
0910.20.90, - - Los demas,20,,,18
0910.30, - Cúrcuma:,,,,
, - - Orgánica:,,,,
0910.30.11, - - - En envases de contenido neto superior a 3 kg,0,,,18
0910.30.19, - - - Las demás,20,,,18
, - - Las demás:,,,,
0910.30.21, - - - En envases de contenido neto superior a 3 kg,0,,,18
0910.30.29, - - - Las demás,20,,,18
, - Las demás especias:,,,,
0910.91, - - Mezcla prevista en la Nota 1 b) de este capítulo:,,,,
0910.91.10, - - - En envases de contenido neto superior a 3 kg,0,,,18
0910.91.90, - - - Las demas,20,,,18
0910.99, - - Las demás:,,,,
0910.99.10, - - - En envases de contenido neto superior a 3 kg,0,,,18
0910.99.90, - - - Las demas,20,,,18
10.01,Trigo y morcajo (tranquillón).,,,,
, - Trigo duro:,,,,
1001.11.00, - - Para siembra,0,,,0
1001.19.00     , - - Los demás,0,,,0
, - Los demás:,,,,
1001.91.00, - - Para siembra,0,,,0
1001.99.00, - - Los demás,0,,,0
10.02,Centeno.,,,,
1002.10.00, - Para siembra,0,,,18
1002.90.00, - Los demás,0,,,18
10.03,Cebada.,,,,
1003.10.00, - Para siembra,0,,,18
1003.90.00, - Los demás,0,,,18
10.04,Avena.,,,,
1004.10.00, - Para siembra,0,,,0
1004.90.00, - Los demás,0,,,0
10.05,Maíz.,,,,
1005.10.00      , - Para siembra,0,,,0
1005.90.00      , - Los demás,0,,,0
10.06,Arroz.,,,,
1006.10.00    , - Arroz con cáscara (arroz «paddy»),14,,,0
1006.20.00     , - Arroz descascarillado (arroz cargo o arroz pardo),20,,,0
1006.30.00    ," - Arroz semiblanqueado o blanqueado, incluso pulido o glaseado",20,,,0
1006.40.00    , - Arroz partido,20,,,0
10.07,Sorgo de grano (granífero).,,,,
1007.10.00, - Para siembra,0,,,18
1007.90.00, - Los demás,0,,,18
10.08,"Alforfón, mijo y alpiste; los demás cereales.",,,,
1008.10.00       , - Alforfón,0,,,18
, - Mijo:,,,,
1008.21.00, - - Para siembra,0,,,18
1008.29.00, - - Los demás,0,,,18
1008.30.00       , - Alpiste,0,,,18
1008.40.00, - Fonio (Digitaria spp.),8,,,18
1008.50.00, - Quinoa (quinua) (Chenopodium quinoa),8,,,18
1008.60.00, - Triticale,8,,,18
1008.90.00       , - Los demás cereales,0,,,18
1101.00.00,Harina de trigo o de morcajo (tranquillón).,14,,,0
11.02,"Harina de cereales, excepto de trigo o de morcajo (tranquillón).",,,,
1102.20.00, - Harina de Maíz,8,,,0
1102.90, - Las demás:,,,,
1102.90.10, - - Harina de avena,8,,,0
1102.90.20, - - Harina de arroz ,14,,,0
1102.90.30, - - Harina de centeno,8,,,0
1102.90.90, - -  Las demás,8,,,0
11.03,"Grañones, sémola y «pellets», de cereales.",,,,
, - Grañones y sémola:,,,,
1103.11.00, - - De trigo,8,,,0
1103.13.00, - - De maíz,8,,,0
1103.19.00, - - De los demás cereales,8,,,0
1103.20.00, - «Pellets»,8,,,0
11.04,"Granos de cereales trabajados de otro modo (por ejemplo: mondados, aplastados, en copos, perlados, troceados o quebrantados), excepto el arroz de la partida 10.06; germen de cereales entero, aplastado, en copos o molido.",,,,
, - Granos aplastados o en copos:,,,,
1104.12.00, - - De avena,8,,,0
1104.19.00, - - De los demás cereales,8,,,0
," - Los demás granos trabajados (por ejemplo: mondados, perlados, troceados o quebrantados):",,,,
1104.22.00, - - De avena,8,,,0
1104.23.00, - - De maíz,0,,,0
1104.29.00, - - De los demás cereales,8,,,0
1104.30.00," - Germén de cereales entero, aplastado, en copos o molido",8,,,0
11.05,"Harina, sémola, polvo, copos, gránulos y «pellets», de papa (patata).",,,,
1105.10.00," - Harina, sémola y polvo",14,,,18
1105.20.00," - Copos, gránulos y «pellets»",14,,,18
11.06,"Harina, sémola, polvo de la Hortalizas de la partida  07.13, de sagú o de las raíces o tubérculos de la partida 07.14 o de los productos del Capítulo 8.",,,,
1106.10.00, - De las hortalizas de la partida 07.13,8,,,18
1106.20.00, - De sagú o de las raíces o tubérculos de la partida 07.14,0,,,18
1106.30, - De los productos del Capítulo 8:,,,,
1106.30.10, - - De bananas o plátanos,8,,,18
1106.30.90, - - Los demás,8,,,18
11.07,"Malta (de cebada u otros cereales), incluso tostada.",,,,
1107.10.00, - Sin tostar,0,,,18
1107.20.00, - Tostada,0,,,18
11.08,Almidón y fécula; inulina.,,,,
, - Almidón y fécula:,,,,
1108.11, - -  Almidón de trigo:,,,,
1108.11.10, - - - En envase de contenido neto superior a 3 kg,8,,,18
1108.11.90, - - - Los demás,20,,,18
1108.12, - - Almidón de maíz:,,,,
1108.12.21, - - - Del tipo utilizado por la industria gráfica,0,,,18
1108.12.29, - - - Los demás,0,,,18
1108.13, - -  Fécula de papa (patata):,,,,
1108.13.10, - - - En envases de contenido neto superior a 3 kg,0,,,18
1108.13.90, - - - Los demás,20,,,18
1108.14, - - Fécula de yuca (mandioca):,,,,
1108.14.10, - - - En envases de contenido neto superior a 3 kg,0,,,18
1108.14.90, - - - Los demás,20,,,18
1108.19, - - Los demás almidones y féculas:,,,,
1108.19.10, - - - En envases de contenido neto superior a 3 kg,8,,,18
1108.19.90, - - - Los demás,20,,,18
1108.20.00, - Inulina,8,,,18
1109.00.00,"Gluten de trigo, incluso seco.",0,,,0
12.01,"Habas (porotos, frijoles, fréjoles)* de soja (soya), incluso quebrantadas.",,,,
1201.10.00, - Para siembra,0,,,0
1201.90.00, - Las demás,0,,,0
12.02,"Maníes (cacahuetes, cacahuates) sin tostar ni cocer de otro modo, incluso sin cáscara o quebrantados.",,,,
1202.30.00, - Para siembra,0,,,0
, - Los demás:,,,,
1202.41.00, - - Con cáscara,0,,,0
1202.42.00," - - Sin cáscara, incluso quebrantados",0,,,0
1203.00.00,Copra.,0,,,0
1204.00,"Semilla de lino, incluso quebrantada.",,,,
1204.00.10, - Para siembra,0,,,0
1204.00.90, - Las demás,0,,,0
12.05,"Semillas de nabo (nabina) o de colza, incluso quebrantadas.",,,,
1205.10.00, - Semillas de nabo (nabina) o de colza con bajo contenido en ácido erúcico,0,,,0
1205.90.00, - Las demás,0,,,0
1206.00,"Semilla de girasol, incluso quebrantada.",,,,
1206.00.10, - Para siembra,0,,,0
1206.00.90, - Las demás,0,,,0
12.07,"Las demás semillas y frutos oleaginosos, incluso quebrantados.",,,,
1207.10.00, - Nueces y almendras de palma (palmiste)*,0,,,0
, - Semillas de algodón:,,,,
1207.21.00, - - Para siembra,0,,,0
1207.29.00, - - Las demás,0,,,0
1207.30.00, - Semillas de ricino,0,,,0
1207.40, - Semillas de sésamo (ajonjolí):,,,,
1207.40.10, - - Para siembra,0,,,0
1207.40.90, - - Las demás,0,,,0
1207.50, - Semillas de mostaza:,,,,
1207.50.10, - - Para siembra,0,,,0
1207.50.90, - - Los demás,0,,,0
1207.60, - Semillas de cártamo (Carthamus tinctorius):,,,,
1207.60.10, - - Para siembra,0,,,0
1207.60.90, - - Los demás,0,,,0
1207.70, - Semillas de melón ,,,,
1207.70.10, - - Para siembra,0,,,0
1207.70.90, - - Los demás,0,,,0
, - Los demás:,,,,
1207.91.00, - - Semilla de amapola (adormidera),0,,,0
1207.99, - - Los demás:,,,,
1207.99.10, - - - Para siembra,0,,,0
1207.99.90, - - - Los demás,0,,,0
12.08,"Harina de semillas o de frutos oleaginosos, excepto la Harina de mostaza.",,,,
1208.10.00," - De habas (porotos, frijoles, fréjoles)* de soja (soya)",0,,,0
1208.90.00, - Las demás,0,,,0
12.09,"Semillas, frutos y esporas, para siembra.",,,,
1209.10.00, - Semilla de remolacha azucarera,0,,,0
, - Semillas forrajeras:,,,,
1209.21.00, - - De alfalfa,0,,,0
1209.22.00, - - De trebol (Trifolium spp.),0,,,0
1209.23.00, - - De fetuscas,0,,,0
1209.24.00, - - De pasto azul de Kentucky (Poa pratensis L.),0,,,0
1209.25.00," - - De ballico (Lolium multiflorum Lam., Lolium Perenne L.)",0,,,0
1209.29.00, - - Las demás,0,,,0
1209.30.00, - Semillas de plantas herbáceas utilizadas principalmente por sus flores,0,,,0
, - Los demás:,,,,
1209.91, - - Semillas de hortalizas:,,,,
1209.91.10, - - - De tomate,0,,,0
1209.91.20, - - - De berenjenas,0,,,0
1209.91.30, - - - De ajíes o pimientos (Capsicum o Pimenta),0,,,0
1209.91.40, - - - De molondrones,0,,,0
1209.91.90, - - - Las demás,0,,,0
1209.99, - - Los demás:,,,,
1209.99.10, - - - Semillas de árboles o arbustos (excepto frutales),0,,,0
