revision,effective_date,policy_effective_date,tpc_date,policy_event,tpc_policy_revision,needs_review,policy_family,usitc_archive_page_url,modification_source_titles,modification_source_citations,federal_register_or_source_links,source_commentary
2019_rev_20,2019-12-16,NA,NA,"Notice of Modification of Section 301 Actions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 69447); Notice of Modification of Section 301 Action: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 43304); Notice of Modification of Section 301 Action: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 45821)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,"Notice of Modification of Section 301 Actions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Modification of Section 301 Action: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Modification of Section 301 Action: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",84 Fed. Reg. 69447 | 84 Fed. Reg. 43304 | 84 Fed. Reg. 45821,https://www.federalregister.gov/documents/2019/12/18/2019-27306/notice-of-modification-of-section-301-action-chinas-acts-policies-and-practices-related-to | https://www.federalregister.gov/documents/2019/08/20/2019-17865/notice-of-modification-of-section-301-action-chinas-acts-policies-and-practices-related-to | https://www.federalregister.gov/documents/2019/08/30/2019-18838/notice-of-modification-of-section-301-action-chinas-acts-policies-and-practices-related-to,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_basic,2020-01-16,NA,NA,2020 basic edition,NA,NA,agoa_and_section_301_china_or_dst_and_statistical_or_technical,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,"To Take Certain Actions Under the African Growth and Opportunity Act and For Other Purposes | Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusion and Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Changes approved by the Committee for Statistical Annotation of Tariff Schedules under section 484(f), Tariff Act of 1930",84 Fed. Reg. 72187 | 84 Fed. Reg. 69011 | 84 Fed. Reg. 69012 | 84 Fed. Reg. 69016 | 84 Fed. Reg. 70616 | 484(f),https://www.federalregister.gov/documents/2019/12/30/2019-28285/to-take-certain-actions-under-the-african-growth-and-opportunity-act-and-for-other-purposes | https://www.federalregister.gov/documents/2019/12/17/2019-27072/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.federalregister.gov/documents/2019/12/17/2019-27072/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.federalregister.gov/documents/2019/12/17/2019-27075/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.federalregister.gov/documents/2019/12/23/2019-27611/notice-of-product-exclusion-extensions-chinas-acts-policies-and-practices-related-to-technology | https://www.usitc.gov/harmonized_tariff_information/484_f_committee_changes,"REVIEW: Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_rev_1,2020-01-21,NA,NA,No archive source captured for this row in current pass; verify against USITC archive/download history.,NA,NA,archive_lookup_needed,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,NA,NA,NA,REVIEW: USITC archive page captured in this pass did not show a clean 2020 Revision 1 row matching the provided Jan. 21 date; verify against archive/download file. It may be an omitted/intermediate revision or naming mismatch.
2020_rev_2,2020-02-06,NA,NA,"To Further Facilitate Positive Adjustment to Competition from Imports of Large Residential Washers (85 Fed. Reg. 5125); Adjusting Imports of Derivative Aluminum Articles and Derivative Steel Articles Into the United States (85 Fed. Reg. 5281); Changes approved by the Committee for Statistical Annotation of Tariff Schedules under section 484(f), Tariff Act of 1930 (484(f))",NA,NA,other_hts_policy_and_section_201_safeguard_and_statistical_or_technical,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,"To Further Facilitate Positive Adjustment to Competition from Imports of Large Residential Washers | Adjusting Imports of Derivative Aluminum Articles and Derivative Steel Articles Into the United States | Changes approved by the Committee for Statistical Annotation of Tariff Schedules under section 484(f), Tariff Act of 1930",85 Fed. Reg. 5125 | 85 Fed. Reg. 5281 | 484(f),https://www.federalregister.gov/documents/2020/01/28/2020-01650/to-further-facilitate-positive-adjustment-to-competition-from-imports-of-large-residential-washers | https://www.federalregister.gov/documents/2020/01/29/2020-01806/adjusting-imports-of-derivative-aluminum-articles-and-derivative-steel-articles-into-the-united | https://www.usitc.gov/harmonized_tariff_information/484_f_committee_changes,"REVIEW: Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_rev_3,2020-02-13,NA,NA,"Notice of Modification of Section 301 Action: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 3741); Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 6674); Notice of Product Exclusions and Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 7816)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,"Notice of Modification of Section 301 Action: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions and Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",85 Fed. Reg. 3741 | 85 Fed. Reg. 6674 | 85 Fed. Reg. 7816,https://www.federalregister.gov/documents/2020/01/22/2020-00904/notice-of-modification-of-section-301-action-chinas-acts-policies-and-practices-related-to | https://www.federalregister.gov/documents/2020/02/05/2020-02225/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.federalregister.gov/documents/2020/02/11/2020-02684/notice-of-product-exclusions-and-amendments-chinas-acts-policies-and-practices-related-to-technology,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_rev_4,2020-02-21,NA,NA,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 9921)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",85 Fed. Reg. 9921,https://www.federalregister.gov/documents/2020/02/20/2020-03377/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_rev_5,2020-03-04,NA,NA,"Notice of Modification of Section 301 Action: Enforcement of U.S. WTO Rights in Large Civil Aircraft Dispute (85 Fed. Reg. 10204); Notice of Product Exclusion: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 10808)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,"Notice of Modification of Section 301 Action: Enforcement of U.S. WTO Rights in Large Civil Aircraft Dispute | Notice of Product Exclusion: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",85 Fed. Reg. 10204 | 85 Fed. Reg. 10808,https://www.federalregister.gov/documents/2020/02/21/2020-03454/notice-of-modification-of-section-301-action-enforcement-of-us-wto-rights-in-large-civil-aircraft | https://www.federalregister.gov/documents/2020/02/25/2020-03680/notice-of-product-exclusion-chinas-acts-policies-and-practices-related-to-technology-transfer,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_rev_6,2020-03-18,NA,NA,"Notice of Modification of Section 301 Action: Enforcement of U.S. WTO Rights in Large Civil Aircraft Dispute (85 Fed. Reg. 10204); Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 13970); Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 15015); Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 15244)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,"Notice of Modification of Section 301 Action: Enforcement of U.S. WTO Rights in Large Civil Aircraft Dispute | Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",85 Fed. Reg. 10204 | 85 Fed. Reg. 13970 | 85 Fed. Reg. 15015 | 85 Fed. Reg. 15244,https://www.federalregister.gov/documents/2020/02/21/2020-03454/notice-of-modification-of-section-301-action-enforcement-of-us-wto-rights-in-large-civil-aircraft | https://www.federalregister.gov/documents/2020/03/10/2020-05000/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.federalregister.gov/documents/2020/03/16/2020-05310/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.federalregister.gov/documents/2020/03/17/2020-05451/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_rev_7,2020-03-31,NA,NA,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 15849); Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 17158); Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 17936)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",85 Fed. Reg. 15849 | 85 Fed. Reg. 17158 | 85 Fed. Reg. 17936,https://www.federalregister.gov/documents/2020/03/19/2020-05674/notice-of-product-exclusion-extensions-chinas-acts-policies-and-practices-related-to-technology | https://www.federalregister.gov/documents/2020/03/26/2020-06276/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.federalregister.gov/documents/2020/03/31/2020-06600/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_rev_8,2020-04-24,NA,NA,"To Modify Duty-Free Treatment Under the Generalized System of Preferences and For Other Purposes (84 Fed. Reg. 58567); Notice of Product Exclusions Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 20332)",NA,NA,gsp_and_section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,"To Modify Duty-Free Treatment Under the Generalized System of Preferences and For Other Purposes | Notice of Product Exclusions Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",84 Fed. Reg. 58567 | 85 Fed. Reg. 20332,https://www.federalregister.gov/documents/2019/10/31/2019-24008/to-modify-duty-free-treatment-under-the-generalized-system-of-preferences-and-for-other-purposes | https://www.federalregister.gov/documents/2020/04/10/2020-07564/notice-of-product-exclusion-extensions-chinas-acts-policies-and-practices-related-to-technology,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_rev_9,2020-04-29,NA,NA,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 23122)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",85 Fed. Reg. 23122,https://www.federalregister.gov/documents/2020/04/24/2020-08670/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_rev_10,2020-05-14,NA,NA,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 27489); Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 28691); Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 28692); Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 28693)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",85 Fed. Reg. 27489 | 85 Fed. Reg. 28691 | 85 Fed. Reg. 28692 | 85 Fed. Reg. 28693,https://www.federalregister.gov/documents/2020/05/08/2020-09828/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.federalregister.gov/documents/2020/05/13/2020-10231/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.federalregister.gov/documents/2020/05/13/2020-10231/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.federalregister.gov/documents/2020/05/13/2020-10232/notice-of-product-exclusion-chinas-acts-policies-and-practices-related-to-technology-transfer,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_rev_11,2020-05-29,NA,NA,"Notice of Product Exclusions Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 29503); Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 32094); Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 32098)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,"Notice of Product Exclusions Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",85 Fed. Reg. 29503 | 85 Fed. Reg. 32094 | 85 Fed. Reg. 32098,https://www.federalregister.gov/documents/2020/05/15/2020-10456/notice-of-product-exclusion-extensions-chinas-acts-policies-and-practices-related-to-technology | https://www.federalregister.gov/documents/2020/05/28/2020-11426/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.federalregister.gov/documents/2020/05/28/2020-11426/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_rev_12,2020-06-04,NA,NA,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 33775)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",85 Fed. Reg. 33775,https://www.federalregister.gov/documents/2020/06/02/2020-11833/notice-of-product-exclusion-extensions-chinas-acts-policies-and-practices-related-to-technology,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_rev_13,2020-06-12,NA,NA,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 35975); Notice of Product Exclusions Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 35158)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",85 Fed. Reg. 35975 | 85 Fed. Reg. 35158,https://www.federalregister.gov/documents/2020/06/12/2020-12672/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.federalregister.gov/documents/2020/06/08/2020-12318/notice-of-product-exclusion-amendment-chinas-acts-policies-and-practices-related-to-technology,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_rev_14,2020-07-08,NA,NA,"To Implement USMCA and For Other Purposes (85 Fed. Reg. 39821); Notice of Product Exclusions and Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 38000); Changes approved by the Committee for Statistical Annotation of Tariff Schedules under section 484(f), Tariff Act of 1930 (484(f))",NA,NA,fta_usmca_and_section_301_china_or_dst_and_statistical_or_technical,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,"To Implement USMCA and For Other Purposes | Notice of Product Exclusions and Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Changes approved by the Committee for Statistical Annotation of Tariff Schedules under section 484(f), Tariff Act of 1930",85 Fed. Reg. 39821 | 85 Fed. Reg. 38000 | 484(f),https://www.federalregister.gov/documents/2020/07/01/2020-14448/to-take-certain-actions-under-the-united-states--mexico-canada-agreement-implementation-act-and-for | https://www.federalregister.gov/documents/2020/06/24/2020-13596/notice-of-product-exclusion-and-amendments-chinas-acts-policies-and-practices-related-to-technology | https://www.usitc.gov/harmonized_tariff_information/484_f_committee_changes,"REVIEW: Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_rev_15,2020-07-13,NA,NA,"Notice of Product Exclusions and Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 41267); Notice of Product Exclusions and Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 41658)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,"Notice of Product Exclusions and Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions and Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",85 Fed. Reg. 41267 | 85 Fed. Reg. 41658,https://www.federalregister.gov/documents/2020/07/09/2020-14833/notice-of-product-exclusion-extensions-chinas-acts-policies-and-practices-related-to-technology | https://www.federalregister.gov/documents/2020/07/10/2020-14916/notice-of-product-exclusions-and-amendments-chinas-acts-policies-and-practices-related-to-technology,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_rev_16,2020-07-23,NA,NA,"Notice of Product Exclusion Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 42968); Notice of Product Exclusion Amendment: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 42970); Notice of Product Exclusion: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 43291)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,"Notice of Product Exclusion Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusion Amendment: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusion: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",85 Fed. Reg. 42968 | 85 Fed. Reg. 42970 | 85 Fed. Reg. 43291,https://www.federalregister.gov/documents/2020/07/15/2020-15288/notice-of-product-exclusion-amendments-chinas-acts-policies-and-practices-related-to-technology | https://www.federalregister.gov/documents/2020/07/15/2020-15289/notice-of-product-exclusion-amendment-chinas-acts-policies-and-practices-related-to-technology | https://www.federalregister.gov/documents/2020/07/16/2020-15320/notice-of-product-exclusion-chinas-acts-policies-and-practices-related-to-technology-transfer,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_rev_17,2020-07-28,NA,NA,"Notice of Product Exclusions and Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 44563)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,"Notice of Product Exclusions and Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",85 Fed. Reg. 44563,https://www.federalregister.gov/documents/2020/07/23/2020-15995/notice-of-product-exclusions-and-amendments-chinas-acts-policies-and-practices-related-to-technology,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2020_rev_18,2020-07-30,NA,NA,"Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (85 Fed. Reg. 45949)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=4,"Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",85 Fed. Reg. 45949,https://www.federalregister.gov/documents/2020/07/30/2020-16529/notice-of-product-exclusion-extensions-chinas-acts-policies-and-practices-related-to-technology,"REVIEW: Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text. Provided list has 2020-07-30; USITC archive shows 2020 HTSA Revision 18 dated July 31, 2020."
2021_basic,2021-03-15,NA,NA,2021 basic edition,NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,Notice of Modification of Section 301 Action: Enforcement of U.S. WTO Rights in Large Civil Aircraft Dispute,86 Fed. Reg. 13961,https://www.federalregister.gov/documents/2021/03/11/2021-05035/notice-of-modification-of-section-301-action-enforcement-of-us-wto-rights-in-large-civil-aircraft,"REVIEW: Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text. USITC archive shows 2021 HTSA Basic Edition dated March 5, 2021, while provided list uses March 15, 2021; verify whether internal effective_date intentionally differs from archive publication date."
2021_rev_1,2021-03-17,NA,NA,Notice of Modification of Section 301 Action: Enforcement of U.S. WTO Rights in the Large Civil Aircraft Dispute (86 Fed. Reg. 14513),NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,Notice of Modification of Section 301 Action: Enforcement of U.S. WTO Rights in the Large Civil Aircraft Dispute,86 Fed. Reg. 14513,https://www.federalregister.gov/documents/2021/03/16/2021-05354/notice-of-modification-of-section-301-action-enforcement-of-us-wto-rights-in-the-large-civil,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2021_rev_2,2021-04-01,NA,NA,"Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (86 Fed. Reg. 13785)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,"Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",86 Fed. Reg. 13785,https://www.federalregister.gov/documents/2021/03/10/2021-04946/notice-of-product-exclusion-extensions-chinas-acts-policies-and-practices-related-to-technology,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2021_rev_3,2021-04-26,NA,NA,"Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (86 Fed. Reg. 22092)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=3,"Notice of Product Exclusion Extensions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",86 Fed. Reg. 22092,https://www.federalregister.gov/documents/2021/04/26/2021-08603/notice-of-technical-amendment-to-product-exclusions-chinas-acts-policies-and-practices-related-to,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
