revision,effective_date,policy_effective_date,tpc_date,policy_event,tpc_policy_revision,needs_review,policy_family,usitc_archive_page_url,modification_source_titles,modification_source_citations,federal_register_or_source_links,source_commentary
2019_rev_10,2019-07-31,NA,NA,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 37381)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",84 Fed. Reg. 37381,https://www.federalregister.gov/documents/2019/07/31/2019-16256/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_11,2019-08-07,NA,NA,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 38717)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",84 Fed. Reg. 38717,https://www.federalregister.gov/documents/2019/08/07/2019-16886/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_12,2019-08-30,NA,NA,"Notice of Modification of Section 301 Action: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 43304); Notice of Modification of Section 301 Action: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 45821)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,"Notice of Modification of Section 301 Action: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Modification of Section 301 Action: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",84 Fed. Reg. 43304 | 84 Fed. Reg. 45821,https://www.federalregister.gov/documents/2019/08/20/2019-17865/notice-of-modification-of-section-301-action-chinas-acts-policies-and-practices-related-to | https://www.federalregister.gov/documents/2019/08/30/2019-18838/notice-of-modification-of-section-301-action-chinas-acts-policies-and-practices-related-to,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_13,2019-10-07,NA,NA,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 49564); Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 49600); Notice of Product Exclusions, Amendment to the Exclusion Process, and Technical Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 49591); Notice of Product Exclusions, Amendment to the Exclusion Process, and Technical Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 52567); Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 52553)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions, Amendment to the Exclusion Process, and Technical Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions, Amendment to the Exclusion Process, and Technical Amendments: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",84 Fed. Reg. 49564 | 84 Fed. Reg. 49600 | 84 Fed. Reg. 49591 | 84 Fed. Reg. 52567 | 84 Fed. Reg. 52553,https://www.federalregister.gov/documents/2019/09/20/2019-20441/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.federalregister.gov/documents/2019/09/20/2019-20442/notice-of-product-exclusions-amendment-to-the-exclusion-process-and-technical-amendments-chinas-acts | https://www.federalregister.gov/documents/2019/09/20/2019-20442/notice-of-product-exclusions-amendment-to-the-exclusion-process-and-technical-amendments-chinas-acts | https://www.federalregister.gov/documents/2019/10/02/2019-21420/notice-of-product-exclusions-and-amendments-chinas-acts-policies-and-practices-related-to-technology | https://www.federalregister.gov/documents/2019/10/02/2019-21419/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_14,2019-10-18,NA,NA,Notice of Determination and Action Pursuant to Section 301: Enforcement of U.S. WTO Rights in Large Civil Aircraft Dispute (84 Fed. Reg. 54245); Technical Adjustments to Section 301 Action: Enforcement of U.S. WTO Rights in Large Civil Aircraft Dispute (84 Fed. Reg. 55998),NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,Notice of Determination and Action Pursuant to Section 301: Enforcement of U.S. WTO Rights in Large Civil Aircraft Dispute | Technical Adjustments to Section 301 Action: Enforcement of U.S. WTO Rights in Large Civil Aircraft Dispute,84 Fed. Reg. 54245 | 84 Fed. Reg. 55998,https://www.federalregister.gov/documents/2019/10/09/2019-22056/notice-of-determination-and-action-pursuant-to-section-301-enforcement-of-us-wto-rights-in-large | https://www.federalregister.gov/documents/2019/10/18/2019-22902/technical-adjustments-to-section-301-action-enforcement-of-us-wto-rights-in-large-civil-aircraft,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_15,2019-10-24,NA,NA,Notice of Withdrawal of Bifacial Solar Panels Exclusion to the Solar Products Safeguard Measure (84 Fed. Reg. 54244),NA,NA,section_201_safeguard,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,Notice of Withdrawal of Bifacial Solar Panels Exclusion to the Solar Products Safeguard Measure,84 Fed. Reg. 54244,https://www.federalregister.gov/documents/2019/10/09/2019-22074/withdrawal-of-bifacial-solar-panels-exclusion-to-the-solar-products-safeguard-measure,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_16,2019-10-31,NA,NA,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 57803); To Modify Duty-Free Treatment Under the Generalized System of Preferences and For Other Purposes (84 Fed. Reg. 58567)",NA,NA,gsp_and_section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | To Modify Duty-Free Treatment Under the Generalized System of Preferences and For Other Purposes",84 Fed. Reg. 57803 | 84 Fed. Reg. 58567,https://www.federalregister.gov/documents/2019/10/28/2019-23441/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.federalregister.gov/documents/2019/10/31/2019-24008/to-modify-duty-free-treatment-under-the-generalized-system-of-preferences-and-for-other-purposes,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_17,2019-11-20,NA,NA,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 61674)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",84 Fed. Reg. 61674,https://www.federalregister.gov/documents/2019/11/13/2019-24623/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_18,2019-11-29,NA,NA,To Modify Duty-Free Treatment Under the Generalized System of Preferences and For Other Purposes (84 Fed. Reg. 58567),NA,NA,gsp,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,To Modify Duty-Free Treatment Under the Generalized System of Preferences and For Other Purposes,84 Fed. Reg. 58567,https://www.federalregister.gov/documents/2019/10/31/2019-24008/to-modify-duty-free-treatment-under-the-generalized-system-of-preferences-and-for-other-purposes,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_19,2019-12-05,NA,NA,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 65882)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",84 Fed. Reg. 65882,https://www.federalregister.gov/documents/2019/11/29/2019-25820/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
