GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,START_DATE
01061210007,80,5,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)",KGM,1,
01061220,80,4,"Seals, sea lions and walruses (mammals of the suborder Pinnipedia)",,0,
01061220005,80,5,"Seals, sea lions and walruses (mammals of the suborder Pinn ipedia)",KGM,1,
010613,80,3,Camels and other camelids (Camelidae),,0,
01061300,80,4,Live camels and other camelids (Camelidae),,0,
01061300008,80,5,Live camels and other camelids (Camelidae),KGM,1,
010614,80,3,Rabbits and hares,,0,
01061410,80,4,Live rabbits and hares (used for human food),,0,
01061410005,80,5,Live rabbits and hares (used for human food),KGM,1,
01061490,80,4,Other live rabbits and hares,,0,
01061490008,80,5,Other live rabbits and hares,HED,1,
010619,80,3,Other,,0,
01061910,80,4,Livestock (used for human food),,0,
01061910215,80,5,"Deer, pure-bred breeding animals",KGM,1,
01061910224,80,5,"Deer, other than pure-bred breeding animals",KGM,1,
01061910901,80,5,Other livestock (used for human food),KGM,1,
01061920,80,4,Other livestock,,0,
01061920115,80,5,"Pit Bull Terrier:American Pit Bull Terrier(or American Pit Bull), American Staffordshire Terrier",HED,1,
01061920197,80,5,"Other Dogs, live",HED,1,
01061920204,80,5,"Cats, live",HED,1,
01061920909,80,5,Other livestock,HED,1,
01061930,80,4,"Other aquatic animals , live",,0,
01061930006,80,5,"Other aquatic animals, live",KGM,1,
01061940,80,4,"Wild animals , live",,0,
01061940111,80,5,"Tigers, live",KGM,1,
01061940120,80,5,"Lions, live",KGM,1,
01061940139,80,5,"Leopard, live",KGM,1,
01061940148,80,5,"Bears, live",KGM,1,
01061940157,80,5,"Elephants, live",KGM,1,
01061940175,80,5,"Giraffe, live",KGM,1,
01061940184,80,5,"Rhinocero, live",KGM,1,
01061940193,80,5,Raccoon (Procyon lotor),KGM,1,
01061940219,80,5,"Squirrels, live",KGM,1,
01061940228,80,5,"Kangaroo, live",KGM,1,
01061940237,80,5,Myocastoridae spp.,KGM,1,
01061940308,80,5,"Hippopotami, live",KGM,1,
01061940406,80,5,"Deer, live",KGM,1,
01061940905,80,5,"Other wild animals, live",KGM,1,
01061990,80,4,Other mammals,,0,
01061990003,80,5,Other mammals,KGM,1,
010620,80,2,Reptiles (including snakes and turtles),,0,
01062010,80,3,"Snakes, live",,0,
01062010114,80,4,"Malayopython reticulatus, Python bivittatus, Python natalensis, Python sebae",KGM,1,
01062010123,80,4,Eunectes spp.,KGM,1,
01062010132,80,4,Boiga irregularis,KGM,1,
01062010141,80,4,Viperidae spp.,KGM,1,
01062010150,80,4,Elapidae spp.,KGM,1,
01062010999,80,4,Other snakes,KGM,1,
01062020,80,3,"Turtles and tortoises, live",,0,
01062020103,80,4,"Soft-shell turtle (terrapin), live, and fry",KGM,1,
01062020210,80,4,"Leopard tortoise (Stigmochelys pardalis) including their sub-species, live",KGM,1,
01062020229,80,4,"African spurred tortoise (Geochelone sulcata) including their sub-species, live",KGM,1,
01062020238,80,4,"Bell's hinge-back tortoise (kinixys belliana) including their sub-species, live",KGM,1,
01062020292,80,4,"Other tortoise (Testudinidae), live",KGM,1,
01062020318,80,4,"Trachemys scripta, Pseudemys nelsoni (Both except the captive bred morphs such as albino, yellow, and black types)",KGM,1,
01062020327,80,4,Chelydridae spp.,KGM,1,
01062020906,80,4,"Other turtles and tortoises, live",KGM,1,
01062090,80,3,Other reptiles,,0,
01062090215,80,4,Anolis spp.,KGM,1,
01062090224,80,4,"Physignathus cocincinus, Agama agama, Agama picticauda",KGM,1,
01062090233,80,4,"Gekko reevesii, Gekko gecko, Gekko monarchus",KGM,1,
01062090242,80,4,Salvator merianae (except the captive bred albino morph),KGM,1,
01062090251,80,4,"Ctenosaura similis, Iguana spp.",KGM,1,
01062090901,80,4,Other live reptiles,KGM,1,
01063,80,2,Birds:,,0,
010631,80,3,Birds of prey,,0,
01063100,80,4,Birds of prey,,0,
01063100006,80,5,Birds of prey,KGM,1,
010632,80,3,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",,0,
01063200,80,4,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",,0,
01063200005,80,5,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",KGM,1,
010633,80,3,Ostriches; emus (Dromaius novaehollandiae),,0,
01063300,80,4,Live ostriches; emus,,0,
01063300102,80,5,"Live ostriches; emus, pure-bred breeding animals",KGM,1,
01063300200,80,5,Other live ostriches; emus,KGM,1,
010639,80,3,Other,,0,
01063900,80,4,Other Birds,,0,
01063900124,80,5,"Bengalese, live",KGM,1,
01063900133,80,5,"Canary, live",KGM,1,
01063900142,80,5,"Parson finch, live",KGM,1,
01063900151,80,5,"Rufans tailed finch, live",KGM,1,
01063900160,80,5,"Java sparrow, live",KGM,1,
01063900179,80,5,"Gouldian finch, live",KGM,1,
01063900213,80,5,"Zebra finch, live",KGM,1,
01063900222,80,5,"Pigeons, live",KGM,1,
01063900231,80,5,"Quails, live",KGM,1,
01063900302,80,5,"Other poultry, live (excluding live poultry of heading 01.05)",KGM,1,
01063900311,80,5,Urocissa erythrorhyncha,KGM,1,
01063900320,80,5,Threskiornis aethiopicus,KGM,1,
01063900339,80,5,Geopelia striata,KGM,1,
01063900348,80,5,Phasianus colchicus,KGM,1,
01063900357,80,5,Cyanopica cyanus,KGM,1,
01063900366,80,5,"Copsychus malabaricus, Copsychus saularis",KGM,1,
01063900375,80,5,"Garrulax canorus, Pterorhinus sannio, Pterorhinus perspicillatus, Pterorhinus chinensis, Garrulax vassali",KGM,1,
01063900384,80,5,"Sturnia malabarica, Aplonis panayensis, Acridotheres burmannicus , Acridotheres javanicus, Acridotheres fuscus, Acridotheres tristis, Acridotheres grandis, Gracupica nigricollis",KGM,1,
01063900393,80,5,Ploceidae spp.,KGM,1,
01063900419,80,5,Pycnonotus jocosus,KGM,1,
01063900428,80,5,Vidua macroura,KGM,1,
01063900437,80,5,"Lonchura oryzivora, Lonchura maja, Euodice malabarica, Estrilda astrild, Estrilda melpoda",KGM,1,
01063900446,80,5,Zosterops spp.,KGM,1,
01063900909,80,5,"Other birds, live",KGM,1,
01064,80,2,Insects :,,0,
010641,80,3,Bees,,0,
01064100,80,4,"Bees, live",,0,
01064100004,80,5,"Bees, live",KGM,1,
010649,80,3,Other,,0,
01064900,80,4,"Other insects, live",,0,
01064900104,80,5,"Dicronorhina spp.,Eudicella spp.,Cyprolais spp.,Dicranocephalus spp.,Oryctes spp.,Cheirotonus spp.",KGM,1,
01064900113,80,5,Thaumastopeus shangaicus,KGM,1,
01064900202,80,5,"Stag beetles (Dorcus spp., Aegus spp., Prosopocoilus spp.)",KGM,1,
01064900300,80,5,"Messor spp., Camponotus spp., Tetraponera spp., Mystrium spp., Gnamptogenys spp., Dolichoderus spp., Technomyrmex spp., Atta spp., Acromyrmex spp., Harpegnathos spp., Myrmecocystus spp., Iridomyrmex spp., Pogonomyrmex spp., Pheidole spp., Pseudoneoponera spp., Aphaenogaster spp., Polyrhachis spp., Oecophylla spp., Formica spp., Odontomachus spp., Anochetus spp., Diacamma spp., Odontoponera spp.",KGM,1,
01064900408,80,5,Sagra femorata,KGM,1,
01064900505,80,5,"Neodanuria spp., Iris spp., Galinthias spp., Amantis spp., Theopompa spp., Acromantis spp., Astyiasula spp. , Odontomantis spp., Phyllothelys spp., Anaxarcha spp., Hierodula spp., Mantis spp., Mesopteryx spp., Statilia spp., Tenodera spp., Hierodulella spp., Oxyopsis spp., Pseudomantis spp., Sphodromantis spp., Stagmomantis spp., Archimantis spp., Miomantis caffra, Cilnia humeralis, Taumantis spp., Miomantis spp., Macromantis hyalina, Ischnomantis spp., Oligonicella spp.",KGM,1,
01064900907,80,5,"Other insects, live",KGM,1,
010690,80,2,Other,,0,
01069000,80,3,Other live animals,,0,
01069000111,80,4,"Kaloula spp., Eleutherodactylus spp., Rhinella marina, Polypedates spp., Osteopilus septentrionalis",KGM,1,
01069000193,80,4,"Other frogs, live, and fry",KGM,1,
01069000200,80,4,"Pontoscolex spp., Eukerria saltensis, Aporrectodea caliginosa, Aporrectodea trapezoides, Dendrobaena octaedra, Lumbricus castaneus, Lumbricus friendi, Lumbricus rubellus, Lumbricus terrestris, Octolasion cyaneum, Octolasion lacteum, Amynthas agrestis, Amynthas loveridgei, Amynthas rodericensis, Amynthas tokioensis, Metaphire hilgendorfi, Eudrilus eugeniae",KGM,1,
01069000308,80,4,Buthidae spp.,KGM,1,
01069000406,80,4,Latrodectus spp.,KGM,1,
01069000905,80,4,Other live animals,KGM,1,
02,80,0,Chapter 2 meat and edible meat offal,,0,
0201,80,1,"Meat of bovine animals, fresh or chilled",,0,
020110,80,2,Carcasses and half-carcasses,,0,
02011010,80,3,"Special quality carcasses and half-carcasses of bovine animals, fresh or chilled",,0,
02011010003,80,4,"Special quality carcasses and half-carcasses of bovine animals, fresh or chilled",KGM,1,
