census_code,country_name,note_ref,first_revision
2250,Panama,"U.S. note 41(c), ch99 subch III",2026_rev_16
6040,Papua New Guinea,"U.S. note 41(c), ch99 subch III",2026_rev_16
3530,Paraguay,"U.S. note 41(c), ch99 subch III",2026_rev_16
3330,Peru,"U.S. note 41(c), ch99 subch III",2026_rev_16
5650,Philippines,"U.S. note 41(c), ch99 subch III",2026_rev_16
7690,Rwanda,"U.S. note 41(c), ch99 subch III",2026_rev_16
2483,Saint Kitts and Nevis,"U.S. note 41(c), ch99 subch III",2026_rev_16
2487,Saint Lucia,"U.S. note 41(c), ch99 subch III",2026_rev_16
2488,Saint Vincent and the Grenadines,"U.S. note 41(c), ch99 subch III",2026_rev_16
6150,Samoa,"U.S. note 41(c), ch99 subch III",2026_rev_16
7644,Sao Tome and Principe,"U.S. note 41(c), ch99 subch III",2026_rev_16
7440,Senegal,"U.S. note 41(c), ch99 subch III",2026_rev_16
4801,Serbia,"U.S. note 41(c), ch99 subch III",2026_rev_16
7470,Sierra Leone,"U.S. note 41(c), ch99 subch III",2026_rev_16
5590,Singapore,"U.S. note 41(c), ch99 subch III",2026_rev_16
6223,Solomon Islands,"U.S. note 41(c), ch99 subch III",2026_rev_16
7700,Somalia,"U.S. note 41(c), ch99 subch III",2026_rev_16
7910,South Africa,"U.S. note 41(c), ch99 subch III",2026_rev_16
5800,South Korea,"U.S. note 41(c), ch99 subch III",2026_rev_16
7323,South Sudan,"U.S. note 41(c), ch99 subch III",2026_rev_16
5420,Sri Lanka,"U.S. note 41(c), ch99 subch III",2026_rev_16
3150,Suriname,"U.S. note 41(c), ch99 subch III",2026_rev_16
7830,Tanzania,"U.S. note 41(c), ch99 subch III",2026_rev_16
5601,Timor-Leste,"U.S. note 41(c), ch99 subch III",2026_rev_16
7520,Togo,"U.S. note 41(c), ch99 subch III",2026_rev_16
6864,Tonga,"U.S. note 41(c), ch99 subch III",2026_rev_16
2740,Trinidad and Tobago,"U.S. note 41(c), ch99 subch III",2026_rev_16
7230,Tunisia,"U.S. note 41(c), ch99 subch III",2026_rev_16
6227,Tuvalu,"U.S. note 41(c), ch99 subch III",2026_rev_16
7780,Uganda,"U.S. note 41(c), ch99 subch III",2026_rev_16
4623,Ukraine,"U.S. note 41(c), ch99 subch III",2026_rev_16
4644,Uzbekistan,"U.S. note 41(c), ch99 subch III",2026_rev_16
6224,Vanuatu,"U.S. note 41(c), ch99 subch III",2026_rev_16
5210,Yemen,"U.S. note 41(c), ch99 subch III",2026_rev_16
7940,Zambia,"U.S. note 41(c), ch99 subch III",2026_rev_16
7960,Zimbabwe,"U.S. note 41(c), ch99 subch III",2026_rev_16
