hts_prefix,ch99_code,derivative_type,effective_date
9405994020,9903.85.08,aluminum,2025-03-12
94062000,9903.81.91,steel,2025-03-12
94069001,9903.81.91,steel,2025-03-12
9506114080,9903.85.08,aluminum,2025-03-12
9506514000,9903.85.08,aluminum,2025-03-12
9506516000,9903.85.08,aluminum,2025-03-12
9506594040,9903.85.08,aluminum,2025-03-12
9506702090,9903.85.08,aluminum,2025-03-12
95069100,9903.85.08,aluminum,2025-03-12
95069100,9903.81.91,steel,2025-08-18
9506990510,9903.85.08,aluminum,2025-03-12
9506990520,9903.85.08,aluminum,2025-03-12
9506990530,9903.85.08,aluminum,2025-03-12
9506991500,9903.85.08,aluminum,2025-03-12
9506992000,9903.85.08,aluminum,2025-03-12
9506992580,9903.85.08,aluminum,2025-03-12
9506992800,9903.85.08,aluminum,2025-03-12
9506995500,9903.85.08,aluminum,2025-03-12
9506996080,9903.85.08,aluminum,2025-03-12
9507302000,9903.85.08,aluminum,2025-03-12
9507304000,9903.85.08,aluminum,2025-03-12
9507306000,9903.85.08,aluminum,2025-03-12
9507308000,9903.85.08,aluminum,2025-03-12
9507906000,9903.85.08,aluminum,2025-03-12
9603908050,9903.85.08,aluminum,2025-03-12
