hts_prefix,ch99_code,derivative_type,effective_date
38089450,9903.85.08,aluminum,2025-08-18
38089450,9903.81.91,steel,2025-08-18
38099100,9903.85.08,aluminum,2025-08-18
38099100,9903.81.91,steel,2025-08-18
38101000,9903.85.08,aluminum,2025-08-18
38101000,9903.81.91,steel,2025-08-18
38111900,9903.85.08,aluminum,2025-08-18
38111900,9903.81.91,steel,2025-08-18
38112100,9903.85.08,aluminum,2025-08-18
38112100,9903.81.91,steel,2025-08-18
38140010,9903.85.08,aluminum,2025-08-18
38140010,9903.81.91,steel,2025-08-18
38140020,9903.85.08,aluminum,2025-08-18
38140020,9903.81.91,steel,2025-08-18
38140050,9903.85.08,aluminum,2025-08-18
38140050,9903.81.91,steel,2025-08-18
38200000,9903.85.08,aluminum,2025-08-18
38200000,9903.81.91,steel,2025-08-18
3824999397,9903.85.08,aluminum,2025-08-18
3824999397,9903.81.91,steel,2025-08-18
3827610000,9903.81.91,steel,2025-08-18
3827620000,9903.81.91,steel,2025-08-18
3827630000,9903.81.91,steel,2025-08-18
3827640000,9903.81.91,steel,2025-08-18
3827650000,9903.81.91,steel,2025-08-18
39252000,9903.81.91,steel,2025-08-18
39269010,9903.81.91,steel,2025-08-18
6603908100,9903.85.08,aluminum,2025-03-12
73082000,9903.85.08,aluminum,2025-08-18
76101000,9903.85.07,aluminum,2025-03-12
76109000,9903.85.07,aluminum,2025-03-12
76141010,9903.81.91,steel,2025-08-18
76141050,9903.85.04,aluminum,NA
76149020,9903.85.04,aluminum,NA
76149040,9903.85.04,aluminum,NA
76149050,9903.85.04,aluminum,NA
7615102015,9903.85.07,aluminum,2025-03-12
7615102025,9903.85.07,aluminum,2025-03-12
7615103015,9903.85.07,aluminum,2025-03-12
7615103025,9903.85.07,aluminum,2025-03-12
7615105020,9903.85.07,aluminum,2025-03-12
7615105040,9903.85.07,aluminum,2025-03-12
7615107125,9903.85.07,aluminum,2025-03-12
7615107130,9903.85.07,aluminum,2025-03-12
7615107155,9903.85.07,aluminum,2025-03-12
7615107180,9903.85.07,aluminum,2025-03-12
7615109100,9903.85.07,aluminum,2025-03-12
7615200000,9903.85.07,aluminum,2025-03-12
7616109090,9903.85.07,aluminum,2025-03-12
7616991000,9903.85.07,aluminum,2025-03-12
7616995130,9903.85.07,aluminum,2025-03-12
7616995140,9903.85.07,aluminum,2025-03-12
7616995190,9903.85.07,aluminum,2025-03-12
8202390040,9903.81.91,steel,2025-08-18
82034060,9903.81.91,steel,2025-08-18
82055955,9903.81.91,steel,2025-08-18
82057000,9903.81.91,steel,2025-08-18
8207200070,9903.81.91,steel,2025-08-18
8207306062,9903.81.91,steel,2025-08-18
8207306095,9903.81.91,steel,2025-08-18
82111000,9903.81.91,steel,2025-08-18
82119110,9903.81.91,steel,2025-08-18
82119120,9903.81.91,steel,2025-08-18
82119125,9903.81.91,steel,2025-08-18
82119130,9903.81.91,steel,2025-08-18
82119140,9903.81.91,steel,2025-08-18
82119150,9903.81.91,steel,2025-08-18
82119180,9903.81.91,steel,2025-08-18
82119220,9903.81.91,steel,2025-08-18
82119240,9903.81.91,steel,2025-08-18
82119260,9903.81.91,steel,2025-08-18
82119290,9903.81.91,steel,2025-08-18
82119300,9903.81.91,steel,2025-08-18
82119410,9903.81.91,steel,2025-08-18
