hts8,effective_date_start,effective_date_end
39172100,NA,NA
39172200,NA,NA
39172300,NA,NA
39172900,NA,NA
39173100,NA,NA
39173300,NA,NA
39173900,NA,NA
39174000,NA,NA
39269045,NA,NA
39269094,NA,NA
39269096,NA,NA
39269099,NA,NA
40082920,NA,NA
40091200,NA,NA
40092200,NA,NA
40093200,NA,NA
40094200,NA,NA
40113000,NA,NA
40121300,NA,NA
40122010,NA,NA
40161000,NA,NA
40169350,NA,NA
40169935,NA,NA
40169960,NA,NA
40170000,NA,NA
45049000,NA,NA
48239010,NA,NA
48239020,NA,NA
48239031,NA,NA
48239040,NA,NA
48239050,NA,NA
48239060,NA,NA
48239067,NA,NA
48239070,NA,NA
48239080,NA,NA
48239086,NA,NA
68128090,NA,NA
68129910,NA,NA
68129920,NA,NA
68129990,NA,NA
68132000,NA,NA
68138100,NA,NA
68138900,NA,NA
70072111,NA,NA
73043130,NA,NA
73043160,NA,NA
73043900,NA,NA
73044130,NA,NA
73044160,NA,NA
73044900,NA,NA
73045110,NA,NA
73045150,NA,NA
73045910,NA,NA
73045920,NA,NA
73045960,NA,NA
73045980,NA,NA
73049010,NA,NA
73049030,NA,NA
73049050,NA,NA
73049070,NA,NA
73063010,NA,NA
73063030,NA,NA
73063050,NA,NA
73064010,NA,NA
73064050,NA,NA
73065010,NA,NA
73065030,NA,NA
73065050,NA,NA
73066110,NA,NA
73066130,NA,NA
73066150,NA,NA
73066170,NA,NA
73066910,NA,NA
73066930,NA,NA
73066950,NA,NA
73066970,NA,NA
73121005,NA,NA
73121010,NA,NA
73121020,NA,NA
73121030,NA,NA
73121050,NA,NA
73121060,NA,NA
73121070,NA,NA
73121080,NA,NA
73121090,NA,NA
73129000,NA,NA
73229000,NA,NA
73241000,NA,NA
73249000,NA,NA
73262000,NA,NA
74130090,NA,NA
76081000,NA,NA
76082000,NA,NA
83021060,NA,NA
83021090,NA,NA
83022000,NA,NA
83024230,NA,NA
83024260,NA,NA
83024940,NA,NA
83024960,NA,NA
83024980,NA,NA
83026030,NA,NA
83071030,NA,NA
83079030,NA,NA
84071000,NA,NA
84089090,NA,NA
84091000,NA,NA
84111140,NA,NA
84111180,NA,NA
84111240,NA,NA
84111280,NA,NA
84112140,NA,NA
84112180,NA,NA
84112240,NA,NA
84112280,NA,NA
84118140,NA,NA
84118240,NA,NA
84119110,NA,NA
84119190,NA,NA
84119910,NA,NA
84119990,NA,NA
84121000,NA,NA
84122100,NA,NA
84122940,NA,NA
84122980,NA,NA
84123100,NA,NA
