country_name,revision,source_url,fallback_from
Republic of Belarus,2021_rev_7,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2021_rev_7,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2021_rev_7,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2021_rev_7,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2021_rev_8,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2021_rev_8,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2021_rev_8,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2021_rev_8,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2021_rev_9,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2021_rev_9,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2021_rev_9,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2021_rev_9,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2021_rev_10,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2021_rev_10,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2021_rev_10,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2021_rev_10,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2021_rev_11,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2021_rev_11,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2021_rev_11,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2021_rev_11,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2021_rev_12,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2021_rev_12,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2021_rev_12,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2021_rev_12,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2022_basic,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2022_basic,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2022_basic,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2022_basic,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2022_rev_1,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2022_rev_1,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2022_rev_1,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2022_rev_1,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2022_rev_2,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2022_rev_2,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2022_rev_2,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2022_rev_2,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2022_rev_3,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2022_rev_3,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2022_rev_3,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2022_rev_3,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2022_rev_4,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2022_rev_4,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2022_rev_4,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2022_rev_4,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2022_rev_5,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2022_rev_5,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2022_rev_5,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2022_rev_5,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2022_rev_6,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2022_rev_6,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2022_rev_6,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2022_rev_6,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2022_rev_7,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2022_rev_7,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2022_rev_7,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2022_rev_7,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2022_rev_8,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2022_rev_8,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2022_rev_8,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2022_rev_8,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2022_rev_9,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2022_rev_9,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2022_rev_9,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2022_rev_9,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2022_rev_10,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2022_rev_10,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2022_rev_10,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2022_rev_10,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2022_rev_11,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2022_rev_11,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2022_rev_11,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2022_rev_11,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2022_rev_12,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2022_rev_12,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2022_rev_12,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2022_rev_12,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2023_basic,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2023_basic,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2023_basic,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2023_basic,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2023_rev_1,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2023_rev_1,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2023_rev_1,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2023_rev_1,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2023_rev_2,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2023_rev_2,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2023_rev_2,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2023_rev_2,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2023_rev_3,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2023_rev_3,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2023_rev_3,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2023_rev_3,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2023_rev_4,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2023_rev_4,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2023_rev_4,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2023_rev_4,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2023_rev_5,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2023_rev_5,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2023_rev_5,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2023_rev_5,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2023_rev_6,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2023_rev_6,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2023_rev_6,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2023_rev_6,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2023_rev_7,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2023_rev_7,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2023_rev_7,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2023_rev_7,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2023_rev_8,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2023_rev_8,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2023_rev_8,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2023_rev_8,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2023_rev_9,carried_forward_from 2026_rev_9,2026_rev_9
North Korea,2023_rev_9,carried_forward_from 2026_rev_9,2026_rev_9
Cuba,2023_rev_9,carried_forward_from 2026_rev_9,2026_rev_9
Russian Federation,2023_rev_9,carried_forward_from 2026_rev_9,2026_rev_9
Republic of Belarus,2023_rev_10,reststop General+Note+3 @ 2023HTSRev10,NA
North Korea,2023_rev_10,reststop General+Note+3 @ 2023HTSRev10,NA
Cuba,2023_rev_10,reststop General+Note+3 @ 2023HTSRev10,NA
Russian Federation,2023_rev_10,reststop General+Note+3 @ 2023HTSRev10,NA
Republic of Belarus,2023_rev_11,reststop General+Note+3 @ 2023HTSRev11,NA
North Korea,2023_rev_11,reststop General+Note+3 @ 2023HTSRev11,NA
Cuba,2023_rev_11,reststop General+Note+3 @ 2023HTSRev11,NA
Russian Federation,2023_rev_11,reststop General+Note+3 @ 2023HTSRev11,NA
Republic of Belarus,2026_rev_10,reststop General+Note+3 @ 2026HTSRev10,NA
North Korea,2026_rev_10,reststop General+Note+3 @ 2026HTSRev10,NA
Cuba,2026_rev_10,reststop General+Note+3 @ 2026HTSRev10,NA
Russian Federation,2026_rev_10,reststop General+Note+3 @ 2026HTSRev10,NA
Republic of Belarus,2026_rev_11,reststop General+Note+3 @ 2026HTSRev11,NA
North Korea,2026_rev_11,reststop General+Note+3 @ 2026HTSRev11,NA
Cuba,2026_rev_11,reststop General+Note+3 @ 2026HTSRev11,NA
Russian Federation,2026_rev_11,reststop General+Note+3 @ 2026HTSRev11,NA
