hts8,program,ch99_heading
33011200,motor_vehicles,9903.03.14
33011300,motor_vehicles,9903.03.14
33011951,motor_vehicles,9903.03.14
33012500,motor_vehicles,9903.03.14
33012910,motor_vehicles,9903.03.14
33012920,motor_vehicles,9903.03.14
33012951,motor_vehicles,9903.03.14
33013000,motor_vehicles,9903.03.14
33019010,motor_vehicles,9903.03.14
33019050,motor_vehicles,9903.03.14
33021010,motor_vehicles,9903.03.14
33021020,motor_vehicles,9903.03.14
33021040,motor_vehicles,9903.03.14
33021050,motor_vehicles,9903.03.14
33021090,motor_vehicles,9903.03.14
33030030,motor_vehicles,9903.03.14
33041000,motor_vehicles,9903.03.14
33042000,motor_vehicles,9903.03.14
33043000,motor_vehicles,9903.03.14
33059000,motor_vehicles,9903.03.14
34060000,motor_vehicles,9903.03.14
35021100,motor_vehicles,9903.03.14
35029000,motor_vehicles,9903.03.14
35030040,motor_vehicles,9903.03.14
35030055,motor_vehicles,9903.03.14
35040010,motor_vehicles,9903.03.14
35051000,motor_vehicles,9903.03.14
35052000,motor_vehicles,9903.03.14
38112100,motor_vehicles,9903.03.14
38231100,motor_vehicles,9903.03.14
38231200,motor_vehicles,9903.03.14
38231300,motor_vehicles,9903.03.14
38231920,motor_vehicles,9903.03.14
38231940,motor_vehicles,9903.03.14
38237040,motor_vehicles,9903.03.14
38237060,motor_vehicles,9903.03.14
38246000,motor_vehicles,9903.03.14
38249939,motor_vehicles,9903.03.14
38249955,motor_vehicles,9903.03.14
38249993,motor_vehicles,9903.03.14
39077000,motor_vehicles,9903.03.14
39079950,motor_vehicles,9903.03.14
39181010,motor_vehicles,9903.03.14
39191020,motor_vehicles,9903.03.14
39199050,motor_vehicles,9903.03.14
39202000,motor_vehicles,9903.03.14
39211900,motor_vehicles,9903.03.14
39219050,motor_vehicles,9903.03.14
39231090,motor_vehicles,9903.03.14
39232100,motor_vehicles,9903.03.14
39233000,motor_vehicles,9903.03.14
39235000,motor_vehicles,9903.03.14
39241020,motor_vehicles,9903.03.14
39241040,motor_vehicles,9903.03.14
39249056,motor_vehicles,9903.03.14
39261000,motor_vehicles,9903.03.14
39263010,motor_vehicles,9903.03.14
39263050,motor_vehicles,9903.03.14
39264000,motor_vehicles,9903.03.14
39269099,motor_vehicles,9903.03.14
40169350,motor_vehicles,9903.03.14
40169915,motor_vehicles,9903.03.14
40169935,motor_vehicles,9903.03.14
41012010,motor_vehicles,9903.03.14
41012020,motor_vehicles,9903.03.14
41015020,motor_vehicles,9903.03.14
41019050,motor_vehicles,9903.03.14
41032030,motor_vehicles,9903.03.14
42010030,motor_vehicles,9903.03.14
42010060,motor_vehicles,9903.03.14
42021221,motor_vehicles,9903.03.14
42021281,motor_vehicles,9903.03.14
42021289,motor_vehicles,9903.03.14
42029215,motor_vehicles,9903.03.14
42029231,motor_vehicles,9903.03.14
42029250,motor_vehicles,9903.03.14
42029297,motor_vehicles,9903.03.14
42029910,motor_vehicles,9903.03.14
42029990,motor_vehicles,9903.03.14
42032940,motor_vehicles,9903.03.14
42033000,motor_vehicles,9903.03.14
42050080,motor_vehicles,9903.03.14
43019000,motor_vehicles,9903.03.14
43031000,motor_vehicles,9903.03.14
44011200,motor_vehicles,9903.03.14
44029001,motor_vehicles,9903.03.14
