GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,IS_LEAF,START_DATE
0102909110,80,5,d'un poids excédant 160 kg,1,01-01-2012
0102909190,80,5,autres,1,01-01-2012
0102909900,80,4,autres,1,01-01-2012
0103000000,80,1,Animaux vivants de l'espèce porcine,0,01-01-1972
0103100000,80,2,reproducteurs de race pure,1,01-01-1972
0103910000,10,2,autres,,01-01-1972
0103910000,80,3,d'un poids inférieur à 50 kg,0,01-01-1972
0103911000,80,4,des espèces domestiques,1,01-01-1972
0103919000,80,4,autres,1,01-01-1972
0103920000,80,3,d'un poids égal ou supérieur à 50 kg,0,01-01-1972
0103921100,10,4,des espèces domestiques,,01-01-1989
0103921100,80,5,Truies ayant mis bas au moins une fois et d'un poids minimal de 160 kg,1,01-01-1972
0103921900,80,5,autres,1,01-01-1972
0103929000,80,4,autres,1,01-01-1972
0104000000,80,1,Animaux vivants des espèces ovine ou caprine,0,01-01-1972
0104100000,80,2,de l'espèce ovine,0,01-01-1972
0104101000,80,3,reproducteurs de race pure,1,01-01-1972
0104103000,10,3,autres,,01-01-1993
0104103000,80,4,Agneaux (jusqu'à l'âge d'un an),1,01-01-1993
0104108000,80,4,autres,1,01-01-1993
0104200000,80,2,de l'espèce caprine,0,01-01-1972
0104201000,80,3,reproducteurs de race pure,1,01-01-1972
0104209000,80,3,autres,1,01-01-1972
0105000000,80,1,"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques",0,01-01-1972
0105110000,10,2,d'un poids n'excédant pas 185 g,,01-01-1972
0105110000,80,3,Volailles de l'espèce Gallus domesticus,0,01-01-1972
0105111100,10,4,Poussins femelles de sélection et de multiplication,,01-01-1993
0105111100,80,5,de race de ponte,1,01-01-1993
0105111900,80,5,autres,1,01-01-1993
0105119100,10,4,autres,,01-01-1993
0105119100,80,5,de race de ponte,1,01-01-1993
0105119900,80,5,autres,1,01-01-1993
0105120000,80,3,Dindes et dindons,1,01-01-1996
0105130000,80,3,Canards,1,01-01-2012
0105140000,80,3,Oies,1,01-01-2012
0105150000,80,3,Pintades,1,01-01-2012
0105940000,10,2,autres,,01-01-2007
0105940000,80,3,Volailles de l'espèce Gallus domesticus,1,01-01-2007
0105990000,80,3,autres,0,01-01-1972
0105991000,80,4,Canards,1,01-01-1972
0105992000,80,4,Oies,1,01-01-1972
0105993000,80,4,Dindes et dindons,1,01-01-1972
0105995000,80,4,Pintades,1,01-01-1972
0106000000,80,1,Autres animaux vivants,0,01-01-1972
0106110000,10,2,Mammifères,,01-01-2002
0106110000,80,3,Primates,1,01-01-2002
0106120000,80,3,"Baleines, dauphins et marsouins (mammifères de l'ordre Cetacea); lamantins et dugongs (mammifères de l'ordre Sirenia); otaries et phoques, lions de mer et morses (mammifères du sous-ordre Pinnipedia)",1,01-01-2002
0106130000,80,3,Chameaux et autres camélidés (Camelidae),1,01-01-2012
0106140000,80,3,Lapins et lièvres,0,01-01-2012
0106141000,80,4,Lapins domestiques,1,01-01-2012
0106149000,80,4,autres,1,01-01-2012
0106190000,80,3,autres,1,01-01-2002
0106200000,80,2,Reptiles (y compris les serpents et les tortues de mer),1,01-01-2002
0106310000,10,2,Oiseaux,,01-01-2002
0106310000,80,3,Oiseaux de proie,1,01-01-2002
0106320000,80,3,"Psittaciformes (y compris les perroquets, perruches, aras et cacatoès)",1,01-01-2002
0106330000,80,3,Autruches; émeus (Dromaius novaehollandiae),1,01-01-2012
0106390000,80,3,autres,0,01-01-2002
0106391000,80,4,Pigeons,1,01-01-2002
0106398000,80,4,autres,1,01-01-2012
0106410000,10,2,Insectes,,01-01-2012
0106410000,80,3,Abeilles,1,01-01-2012
0106490000,80,3,Autres,1,01-01-2012
0106900000,80,2,autres,0,01-01-2002
0106900010,10,3,Grenouilles,,01-01-2021
0106900010,80,4,destinées à l'alimentation humaine,1,01-01-2021
0106900019,80,4,autres,1,01-01-2021
0106900090,80,3,autres,1,01-01-2021
0200000000,80,0,VIANDES ET ABATS COMESTIBLES,0,31-12-1971
0201000000,80,1,"Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées",0,01-01-1972
0201100000,80,2,en carcasses ou demi-carcasses,0,01-01-1972
0201100021,10,3,Viandes bovines de haute qualité,,21-09-2017
0201100021,80,4,de bison,1,21-09-2017
0201100029,80,4,autres,1,21-09-2017
0201100092,10,3,autres,,21-09-2017
0201100092,20,4,"Carcasses ayant un poids égal ou supérieur à 180 kg et inférieur ou égal à 300 kg et demi-carcasses, ayant un poids égal ou supérieur à 90 kg et inférieur ou égal à 150 kg, présentant un faible degré d'ossification des cartilages (notamment ceux de la symphyse pubienne et des apophyses vertébrales), la viande est rose clair et la graisse, de structure extrêmement fine, de couleur blanche à jaune clair",,21-09-2017
0201100092,80,5,de bison,1,21-09-2017
0201100094,80,5,autres,1,21-09-2017
0201100097,10,4,autres,,21-09-2017
0201100097,80,5,de bison,1,21-09-2017
0201100098,80,5,autres,1,21-09-2017
0201200000,80,2,autres morceaux non désossés,0,01-01-1972
0201202000,80,3,"Quartiers dits ""compensés""",0,01-01-1993
0201202021,10,4,Viandes bovines de haute qualité,,21-09-2017
0201202021,80,5,de bison,1,21-09-2017
0201202029,80,5,autres,1,21-09-2017
0201202092,10,4,autres,,21-09-2017
0201202092,20,5,"Quartiers dits compensés, ayant un poids égal ou supérieur a 90 kg et inférieur ou égal à 150 kg, présentant un faible degré d'ossification des cartilages (notamment ceux de la symphyse pubienne et des apophyses vertébrales), dont la viande est rose clair et la graisse, de structure extrêmement fine, de couleur blanche à jaune clair",,21-09-2017
0201202092,80,6,de bison,1,21-09-2017
0201202094,80,6,autres,1,21-09-2017
0201202097,10,5,autres,,21-09-2017
0201202097,80,6,de bison,1,21-09-2017
0201202098,80,6,autres,1,21-09-2017
0201203000,80,3,Quartiers avant attenants ou séparés,0,01-01-1993
0201203021,10,4,Viandes bovines de haute qualité,,21-09-2017
0201203021,80,5,de bison,1,21-09-2017
0201203029,80,5,autres,1,21-09-2017
0201203092,10,4,autres,,21-09-2017
