GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,GT_RATE,START_DATE
01042010,80,3,importés dans les limites du contingent tarifaire (c. n° 4) (reproducteurs),Fr. par pièce(s),1,43.00,1995-07-01
01042020,80,3,importés dans les limites du contingent tarifaire (c. n° 5) (animaux de boucherie),Fr. par pièce(s),1,43.00,1995-07-01
01042090,80,3,autres,Fr. par pièce(s),1,59.50,1995-07-01
0105,80,1,"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques:",,0,,1988-01-01
,10,2,d'un poids n'excédant pas 185 g:,,,,1988-01-01
01051100,80,3,volailles de l'espèce Gallus domesticus,Fr. par 100 kg brut,1,0.00,1988-01-01
01051200,80,3,dindes et dindons,Fr. par 100 kg brut,1,0.00,1996-01-01
01051300,80,3,canards,Fr. par 100 kg brut,1,0.00,2012-01-01
01051400,80,3,oies,Fr. par 100 kg brut,1,0.00,2012-01-01
01051500,80,3,pintades,Fr. par 100 kg brut,1,0.00,2012-01-01
,10,2,autres:,,,,1988-01-01
01059400,80,3,volailles de l'espèce Gallus domesticus,Fr. par 100 kg brut,1,8.00,2007-01-01
01059900,80,3,autres,Fr. par 100 kg brut,1,8.00,1988-01-01
0106,80,1,Autres animaux vivants:,,0,,1988-01-01
,10,2,mammifères:,,,,2002-01-01
01061100,80,3,primates,Fr. par 100 kg brut,1,0.00,2002-01-01
01061200,80,3,"baleines, dauphins et marsouins (mammifères de l'ordre Cetacea); lamantins et dugongs (mammifères de l'ordre Sirenia); otaries et phoques, lions de mer et morses (mammifères du sous-ordre Pinnipedia)",Fr. par 100 kg brut,1,0.00,2012-01-01
01061300,80,3,chameaux et autres camélidés (Camelidae),Fr. par 100 kg brut,1,0.00,2012-01-01
01061400,80,3,lapins et lièvres,Fr. par 100 kg brut,1,0.00,2012-01-01
01061900,80,3,autres,Fr. par 100 kg brut,1,0.00,2002-01-01
01062000,80,2,reptiles (y compris les serpents et les tortues de mer),Fr. par 100 kg brut,1,0.00,2002-01-01
,10,2,oiseaux:,,,,2002-01-01
01063100,80,3,oiseaux de proie,Fr. par 100 kg brut,1,0.00,2002-01-01
01063200,80,3,"psittaciformes (y compris les perroquets, perruches, aras et cacatoés)",Fr. par 100 kg brut,1,0.00,2002-01-01
01063300,80,3,autruches; émeus (Dromaius novaehollandiae),Fr. par 100 kg brut,1,8.00,2012-01-01
010639,80,3,autres:,,0,,2002-01-01
01063910,80,4,gibier à plume,Fr. par 100 kg brut,1,8.00,2002-01-01
01063990,80,4,autres,Fr. par 100 kg brut,1,0.00,2002-01-01
,10,2,insectes:,,,,2012-01-01
01064100,80,3,abeilles,Fr. par 100 kg brut,1,0.00,2012-01-01
01064900,80,3,autres,Fr. par 100 kg brut,1,0.00,2012-01-01
01069000,80,2,autres,Fr. par 100 kg brut,1,0.00,2002-01-01
02,80,0,Viandes et abats comestibles,,0,,1988-01-01
0201,80,1,"Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées:",,0,,1988-01-01
020110,80,2,en carcasses ou demi-carcasses:,,0,,1988-01-01
,10,3,de veaux:,,,,1995-07-01
02011011,80,4,importées dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,94.00,1995-07-01
02011019,80,4,autres,Fr. par 100 kg brut,1,758.00,1995-07-01
,10,3,autres:,,,,1995-07-01
02011091,80,4,importées dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,94.00,1995-07-01
02011099,80,4,autres,Fr. par 100 kg brut,1,758.00,1995-07-01
020120,80,2,autres morceaux non désossés:,,0,,1988-01-01
,10,3,de veaux:,,,,1995-07-01
02012011,80,4,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,209.00,1995-07-01
02012019,80,4,autres,Fr. par 100 kg brut,1,1368.00,1995-07-01
,10,3,autres:,,,,1995-07-01
02012091,80,4,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,209.00,1995-07-01
02012099,80,4,autres,Fr. par 100 kg brut,1,1368.00,1995-07-01
020130,80,2,désossées:,,0,,1988-01-01
,10,3,de veaux:,,,,1995-07-01
02013011,80,4,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,209.00,1995-07-01
02013019,80,4,autres,Fr. par 100 kg brut,1,2212.00,1995-07-01
,10,3,autres:,,,,1995-07-01
02013091,80,4,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,209.00,1995-07-01
02013099,80,4,autres,Fr. par 100 kg brut,1,2212.00,1995-07-01
0202,80,1,"Viandes des animaux de l'espèce bovine, congelées:",,0,,1988-01-01
020210,80,2,en carcasses ou demi-carcasses:,,0,,1988-01-01
,10,3,de veaux:,,,,1995-07-01
02021011,80,4,importées dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,94.00,1995-07-01
02021019,80,4,autres,Fr. par 100 kg brut,1,758.00,1995-07-01
,10,3,autres:,,,,1995-07-01
02021091,80,4,importées dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,94.00,1995-07-01
02021099,80,4,autres,Fr. par 100 kg brut,1,758.00,1995-07-01
020220,80,2,autres morceaux non désossés:,,0,,1988-01-01
,10,3,de veaux:,,,,1995-07-01
02022011,80,4,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,209.00,1995-07-01
02022019,80,4,autres,Fr. par 100 kg brut,1,1233.00,1995-07-01
,10,3,autres:,,,,1995-07-01
02022091,80,4,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,209.00,1995-07-01
02022099,80,4,autres,Fr. par 100 kg brut,1,1233.00,1995-07-01
020230,80,2,désossées:,,0,,1988-01-01
,10,3,de veaux:,,,,1995-07-01
02023011,80,4,importées dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,209.00,1995-07-01
02023019,80,4,autres,Fr. par 100 kg brut,1,2057.00,1995-07-01
,10,3,autres:,,,,1995-07-01
02023091,80,4,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,209.00,1995-07-01
02023099,80,4,autres,Fr. par 100 kg brut,1,2057.00,1995-07-01
0203,80,1,"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées:",,0,,1988-01-01
,10,2,fraîches ou réfrigérées:,,,,1988-01-01
020311,80,3,en carcasses ou demi-carcasses:,,0,,1988-01-01
02031110,80,4,de sangliers,Fr. par 100 kg brut,1,9.00,1995-07-01
,10,4,autres:,,,,1995-07-01
02031191,80,5,importées dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,43.00,1995-07-01
02031199,80,5,autres,Fr. par 100 kg brut,1,347.00,1995-07-01
020312,80,3,"jambons, épaules et leurs morceaux, non désossés:",,0,,1988-01-01
02031210,80,4,de sangliers,Fr. par 100 kg brut,1,7.00,1995-07-01
,10,4,autres:,,,,1995-07-01
02031291,80,5,importés dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,50.00,1995-07-01
02031299,80,5,autres,Fr. par 100 kg brut,1,508.00,1995-07-01
020319,80,3,autres:,,0,,1988-01-01
02031910,80,4,de sangliers,Fr. par 100 kg brut,1,7.00,1995-07-01
,10,4,autres:,,,,1995-07-01
02031981,80,5,importées dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,50.00,1995-07-01
,10,5,autres:,,,,1995-07-01
02031991,80,6,carrés et leurs parties,Fr. par 100 kg brut,1,2304.00,1995-07-01
02031999,80,6,autres,Fr. par 100 kg brut,1,396.00,1995-07-01
,10,2,congelées:,,,,1988-01-01
020321,80,3,en carcasses ou demi-carcasses:,,0,,1988-01-01
02032110,80,4,de sangliers,Fr. par 100 kg brut,1,9.00,1995-07-01
,10,4,autres:,,,,1995-07-01
02032191,80,5,importées dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,43.00,1995-07-01
02032199,80,5,autres,Fr. par 100 kg brut,1,355.00,1995-07-01
020322,80,3,"jambons, épaules et leurs morceaux, non désossés:",,0,,1988-01-01
02032210,80,4,de sangliers,Fr. par 100 kg brut,1,7.00,1995-07-01
,10,4,autres:,,,,1995-07-01
02032291,80,5,importés dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,50.00,1995-07-01
02032299,80,5,autres,Fr. par 100 kg brut,1,474.00,1995-07-01
