GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,GT_RATE,START_DATE
010420,80,2,der Ziegengattung:,,0,,1988-01-01
01042010,80,3,innerhalb des Zollkontingents (K-Nr. 4) eingeführt (Zuchttiere),Fr. je Stück,1,43.00,1995-07-01
01042020,80,3,innerhalb des Zollkontingents (K-Nr. 5) eingeführt (Schlachttiere),Fr. je Stück,1,43.00,1995-07-01
01042090,80,3,andere,Fr. je Stück,1,59.50,1995-07-01
0105,80,1,"Hausgeflügel: Hühner, Enten, Gänse, Truthühner und Perlhühner, lebend:",,0,,1988-01-01
,10,2,mit einem Gewicht von nicht mehr als 185 g:,,,,1988-01-01
01051100,80,3,Geflügel der Gattung Gallus domesticus,Fr. je 100 kg brutto,1,0.00,1988-01-01
01051200,80,3,Truthühner,Fr. je 100 kg brutto,1,0.00,1996-01-01
01051300,80,3,Enten,Fr. je 100 kg brutto,1,0.00,2012-01-01
01051400,80,3,Gänse,Fr. je 100 kg brutto,1,0.00,2012-01-01
01051500,80,3,Perlhühner,Fr. je 100 kg brutto,1,0.00,2012-01-01
,10,2,andere:,,,,1988-01-01
01059400,80,3,Geflügel der Gattung Gallus domesticus,Fr. je 100 kg brutto,1,8.00,2007-01-01
01059900,80,3,andere,Fr. je 100 kg brutto,1,8.00,1988-01-01
0106,80,1,"Andere Tiere, lebend:",,0,,1988-01-01
,10,2,Säugetiere:,,,,2002-01-01
01061100,80,3,Primaten,Fr. je 100 kg brutto,1,0.00,2002-01-01
01061200,80,3,"Wale, Delfine und Tümmler (Säugetiere der Ordnung der Cetacea); Manatis und Dugongs (Säugetiere der Ordnung der Sirenia); Robben, Seehunde, Seelöwen und Walrösser (Säugetiere der Unterordnung der Pinnipedia)",Fr. je 100 kg brutto,1,0.00,2012-01-01
01061300,80,3,Kamele (Camelidae),Fr. je 100 kg brutto,1,0.00,2012-01-01
01061400,80,3,Kaninchen und Hasen,Fr. je 100 kg brutto,1,0.00,2012-01-01
01061900,80,3,andere,Fr. je 100 kg brutto,1,0.00,2002-01-01
01062000,80,2,Reptilien (einschliesslich Schlangen und Meeresschildkröten),Fr. je 100 kg brutto,1,0.00,2002-01-01
,10,2,Vögel:,,,,2002-01-01
01063100,80,3,Greifvögel,Fr. je 100 kg brutto,1,0.00,2002-01-01
01063200,80,3,"Papageienvögel (einschliesslich Papageien, Sittiche, Aras und Kakadus)",Fr. je 100 kg brutto,1,0.00,2002-01-01
01063300,80,3,Strausse; Emus (Dromaius novaehollandiae),Fr. je 100 kg brutto,1,8.00,2012-01-01
