revision,effective_date,effective_date_label,source_url,source_sha256,acquired_at,notes
2026_rev_8,2026-08-01,August 2026 TARIC snapshot,https://circabc.europa.eu/ui/group/0e5f18c2-4b2f-42e9-aed4-dfe50ae1263b/library/7d7872d3-1f44-40b6-9c4f-072e3f0fde5d,940114b29c5b949cad6977f7338bce88ddf1f72717b96a47be1de472035990fd,2026-08-27T20:18:21+00:00,"August 2026 CIRCABC release (folder 08 - August). Converted from Nomenclature EN.xlsx + Declarable codes.xlsx downloaded 2026-08-26. Snapshot month, not a blanket legal effective date — TARIC measures carry their own dates."
2026_rev_9,2026-09-01,September 2026 TARIC snapshot,https://circabc.europa.eu/ui/group/0e5f18c2-4b2f-42e9-aed4-dfe50ae1263b/library/bfb38aac-8ce7-4562-90bb-15b30cab14be,bbcc24a9a9870e0e08cca8eeea67535efbdf8751069aed071a02228105aa4eb5,2026-09-01T07:18:38+00:00,
