revision,effective_date,effective_date_label,source_url,source_sha256,acquired_at,notes
2026_rev_729,2026-07-29,CCC amendment of 2026-07-29,https://portal.sw.nat.gov.tw/APGQ/GC453,95ae3db295b53eb4ba985eb2ee4aeafba006b6e0cbf619428df66bc8105d9044,2026-09-03T23:38:05+00:00,
2026_rev_910,2026-09-10,CCC amendment of 2026-09-10,https://portal.sw.nat.gov.tw/APGQ/GC453,7a8368580bf8c7d5affc135d85004dcef47450616b0dbdd95928b54db2dda2cf,2026-09-11T06:23:36+00:00,
2026_rev_916,2026-09-16,CCC amendment of 2026-09-16,https://portal.sw.nat.gov.tw/APGQ/GC453,1a8c9b7864f0b3a8b456a78552793ef8205113df371fc1cef8900fe6e7c5c395,2026-09-16T06:24:14+00:00,
2026_rev_922,2026-09-22,CCC amendment of 2026-09-22,https://portal.sw.nat.gov.tw/APGQ/GC453,1a8c9b7864f0b3a8b456a78552793ef8205113df371fc1cef8900fe6e7c5c395,2026-09-22T07:22:52+00:00,
